Ref,Choice R3,Integration [HH] R3,Total Connectivity R3,Choice R3 normal,Integration [HH] R3,Total Connectivity R3
187,6,0.84912294,14,0.009287926,0.197061165,0.014989293
188,6,0.84912294,14,0.009287926,0.197061165,0.014989293
189,6,0.84912294,13,0.009287926,0.197061165,0.012847966
190,6,0.87255627,11,0.009287926,0.206014039,0.00856531
191,4,0.70398736,9,0.00619195,0.141611062,0.004282655
192,0,0.33333334,7,0,0,0
193,6,0.84912294,14,0.009287926,0.197061165,0.014989293
194,6,0.84912294,14,0.009287926,0.197061165,0.014989293
195,6,0.84912294,14,0.009287926,0.197061165,0.014989293
196,6,0.84912294,13,0.009287926,0.197061165,0.012847966
197,6,0.87255627,11,0.009287926,0.206014039,0.00856531
198,4,0.70398736,9,0.00619195,0.141611062,0.004282655
199,0,0.33333334,7,0,0,0
200,22,1.6071428,94,0.034055728,0.486668161,0.186295503
201,10,1.1365665,45,0.015479876,0.306881066,0.08137045
202,6,0.8870222,28,0.009287926,0.211540853,0.04496788
203,6,0.84912294,16,0.009287926,0.197061165,0.019271949
204,6,0.84912294,14,0.009287926,0.197061165,0.014989293
205,6,0.84912294,14,0.009287926,0.197061165,0.014989293
206,6,0.84912294,14,0.009287926,0.197061165,0.014989293
207,0,0.33333334,7,0,0,0
208,4,0.70398736,9,0.00619195,0.141611062,0.004282655
209,6,0.87255627,11,0.009287926,0.206014039,0.00856531
210,6,0.84912294,13,0.009287926,0.197061165,0.012847966
211,6,0.84912294,14,0.009287926,0.197061165,0.014989293
212,6,0.84912294,14,0.009287926,0.197061165,0.014989293
213,6,0.84912294,14,0.009287926,0.197061165,0.014989293
214,6,0.84912294,14,0.009287926,0.197061165,0.014989293
215,6,0.84912294,14,0.009287926,0.197061165,0.014989293
216,6,0.84912294,16,0.009287926,0.197061165,0.019271949
217,6,0.8870222,25,0.009287926,0.211540853,0.038543897
218,10,1.1,27,0.015479876,0.292910569,0.042826552
219,16,1.4744722,29,0.024767802,0.435980394,0.047109208
220,0,1.2222222,27,0,0.339606449,0.042826552
221,12,1.2222222,25,0.018575851,0.339606449,0.038543897
222,8,0.98558021,21,0.012383901,0.249195657,0.029978587
223,6,0.8619656,21,0.009287926,0.201967797,0.029978587
224,6,0.8870222,27,0.009287926,0.211540853,0.042826552
225,10,1.1058542,30,0.015479876,0.295147209,0.049250535
226,18,1.5154221,34,0.027863777,0.451625601,0.057815846
227,18,1.5154221,34,0.027863777,0.451625601,0.057815846
228,10,1.1058542,30,0.015479876,0.295147209,0.049250535
229,6,0.8870222,26,0.009287926,0.211540853,0.040685225
230,6,0.84912294,16,0.009287926,0.197061165,0.019271949
231,10,1.1058542,28,0.015479876,0.295147209,0.04496788
232,6,0.91666669,25,0.009287926,0.222866746,0.038543897
233,8,0.98558021,23,0.012383901,0.249195657,0.034261242
234,12,1.2222222,23,0.018575851,0.339606449,0.034261242
235,12,1.2222222,23,0.018575851,0.339606449,0.034261242
236,8,0.98558021,20,0.012383901,0.249195657,0.027837259
237,6,0.84912294,16,0.009287926,0.197061165,0.019271949
238,4,0.70398736,10,0.00619195,0.141611062,0.006423983
239,0,0.33333334,7,0,0,0
240,361,2.7862427,463,0.558823529,0.937151847,0.976445396
241,152,2.4959579,359,0.235294118,0.82624643,0.753747323
242,32,1.7213885,187,0.049535604,0.530316561,0.385438972
243,9,1.2552096,75,0.013931889,0.352209525,0.145610278
244,28,1.4864661,51,0.043343653,0.440562751,0.094218415
245,12,1.3815587,86,0.018575851,0.400482117,0.169164882
246,38,1.8962001,102,0.058823529,0.597104603,0.203426124
247,91,2.1913517,130,0.140866873,0.709869417,0.263383298
248,14,1.31797,45,0.021671827,0.376187592,0.08137045
249,36,1.5364467,43,0.055727554,0.459658203,0.077087794
250,30,1.471094,37,0.046439628,0.434689729,0.064239829
251,18,1.2123377,36,0.027863777,0.335830004,0.062098501
252,10,1.1365665,43,0.015479876,0.306881066,0.077087794
253,16,1.4028426,65,0.024767802,0.408613785,0.124197002
254,44,1.8421876,174,0.068111455,0.576468735,0.357601713
255,24,1.7797406,175,0.037151703,0.552610405,0.359743041
256,12,1.2726263,74,0.018575851,0.358863701,0.143468951
257,14,1.3304729,67,0.021671827,0.380964415,0.128479657
258,32,1.6413553,104,0.049535604,0.499739296,0.207708779
259,18,1.5469,101,0.027863777,0.463651962,0.201284797
260,10,1.1768752,56,0.015479876,0.322281298,0.104925054
261,206,2.6542504,407,0.318885449,0.88672323,0.856531049
262,646,2.8930631,474,1,0.977963357,1
263,269,2.6536639,420,0.416408669,0.886499153,0.884368308
264,70,2.0631814,188,0.108359133,0.660901023,0.3875803
265,80,2.1024222,155,0.123839009,0.675893255,0.316916488
266,37,1.9329244,122,0.057275542,0.611135389,0.246252677
267,55,1.9363272,125,0.085139319,0.612435454,0.25267666
268,0,0.42239243,16,0,0.034025673,0.019271949
269,6,0.94787496,47,0.009287926,0.234790092,0.085653105
270,20,1.5395753,82,0.030959752,0.460853507,0.160599572
271,32,1.8962001,101,0.049535604,0.597104603,0.201284797
272,15,1.7307693,85,0.023219814,0.533900564,0.167023555
273,6,1.3304729,65,0.009287926,0.380964415,0.124197002
274,23,1.8861139,113,0.035603715,0.593251097,0.226980728
275,60,2.1163981,138,0.092879257,0.68123285,0.280513919
276,28,1.7812788,113,0.043343653,0.553198086,0.226980728
277,8,1.0952908,63,0.012383901,0.291111385,0.119914347
278,0,0.49860358,24,0,0.063142696,0.03640257
279,82,2.0612876,179,0.126934985,0.660177483,0.368308351
280,8,1.3455029,96,0.012383901,0.386706736,0.190578158
281,6,1.3443909,78,0.009287926,0.386281888,0.152034261
282,60,2.0454545,92,0.092879257,0.654128332,0.182012848
283,65,2.0201983,136,0.100619195,0.644479017,0.276231263
284,50,1.8017781,133,0.077399381,0.561029992,0.269807281
285,42,1.7700537,147,0.06501548,0.548909455,0.299785867
286,25,1.6597091,125,0.03869969,0.506751498,0.25267666
287,30,1.5,78,0.046439628,0.445733476,0.152034261
288,10,1.1768752,48,0.015479876,0.322281298,0.087794433
