Ref,Choice R3,Integration [HH] R3,Total Depth R3,Choice R3 normal,Integration [HH] R3 normal,Total Depth R3 normal
223,44,1.7909094,49,0.271604938,0.700892656,0.341269841
224,32,1.6132691,37,0.197530864,0.615472221,0.246031746
225,25,1.6684235,45,0.154320988,0.641993865,0.30952381
226,6,1.2989333,26,0.037037037,0.464320141,0.158730159
227,7,1.3057258,23,0.043209877,0.467586394,0.134920635
228,19,1.550553,32,0.117283951,0.585314444,0.206349206
229,14,1.2989333,26,0.086419753,0.464320141,0.158730159
230,10,1.1561403,31,0.061728395,0.395656441,0.198412698
231,16,1.3873369,34,0.098765432,0.506830055,0.222222222
232,20,1.569167,29,0.12345679,0.594265206,0.182539683
233,36,1.6981779,36,0.222222222,0.65630162,0.238095238
234,16,1.3938289,37,0.098765432,0.50995181,0.246031746
235,8,1.0445806,26,0.049382716,0.342011642,0.158730159
236,8,1.0445806,26,0.049382716,0.342011642,0.158730159
237,16,1.3845592,31,0.098765432,0.505494365,0.198412698
238,16,1.3873369,34,0.098765432,0.506830055,0.222222222
239,10,1.1768752,34,0.061728395,0.405627062,0.222222222
240,16,1.3845592,31,0.098765432,0.505494365,0.198412698
241,40,1.7669872,38,0.24691358,0.689389384,0.253968254
242,28,1.550553,32,0.172839506,0.585314444,0.206349206
243,0,1.1365665,28,0,0.386244148,0.174603175
244,28,1.5405476,35,0.172839506,0.580503229,0.23015873
245,28,1.5365106,41,0.172839506,0.57856199,0.277777778
246,32,1.6474625,31,0.197530864,0.631914521,0.198412698
247,10,1.1087778,16,0.061728395,0.372881623,0.079365079
248,8,0.98510355,14,0.049382716,0.3134114,0.063492063
249,6,0.8619656,15,0.037037037,0.254199063,0.071428571
250,6,0.84912294,12,0.037037037,0.248023519,0.047619048
251,6,0.8619656,15,0.037037037,0.254199063,0.071428571
252,8,1,20,0.049382716,0.320574534,0.111111111
253,14,1.2989333,26,0.086419753,0.464320141,0.158730159
254,14,1.2063863,21,0.086419753,0.419817823,0.119047619
255,18,1.4028426,40,0.111111111,0.514286154,0.26984127
256,28,1.6008096,26,0.172839506,0.609480923,0.158730159
257,16,1.3873683,28,0.098765432,0.506845154,0.174603175
258,10,1.1365665,28,0.061728395,0.386244148,0.174603175
259,12,1.2063863,21,0.074074074,0.419817823,0.119047619
260,14,1.2989333,26,0.086419753,0.464320141,0.158730159
261,8,1.0207884,23,0.049382716,0.330570882,0.134920635
262,8,1,20,0.049382716,0.320574534,0.111111111
263,12,1.2222222,18,0.074074074,0.427432702,0.095238095
264,0,0.33333334,6,0,0,0
265,4,0.69804502,10,0.024691358,0.175375917,0.031746032
266,8,0.98558021,17,0.049382716,0.313640608,0.087301587
267,14,1.3057258,23,0.086419753,0.467586394,0.134920635
268,24,1.471094,30,0.148148148,0.547105646,0.19047619
269,16,1.3938289,37,0.098765432,0.50995181,0.246031746
270,12,1.2726263,39,0.074074074,0.451670109,0.261904762
271,22,1.6261337,34,0.135802469,0.621658316,0.222222222
272,40,1.7265038,56,0.24691358,0.669922463,0.396825397
273,20,1.3873683,28,0.12345679,0.506845154,0.174603175
274,46,1.9513603,31,0.283950617,0.778047366,0.198412698
275,22,1.6474625,31,0.135802469,0.631914521,0.198412698
276,10,1.1561403,31,0.061728395,0.395656441,0.198412698
277,8,1.0445806,26,0.049382716,0.342011642,0.158730159
278,14,1.3006579,29,0.086419753,0.465149435,0.182539683
279,0,1,20,0,0.320574534,0.111111111
280,28,1.6812503,28,0.172839506,0.648161784,0.174603175
281,32,1.6261337,34,0.197530864,0.621658316,0.222222222
282,26,1.6118186,52,0.160493827,0.614774731,0.365079365
283,30,1.7325417,62,0.185185185,0.672825859,0.444444444
284,32,1.6037242,43,0.197530864,0.610882443,0.293650794
285,56,1.9174613,50,0.345679012,0.761746632,0.349206349
286,44,1.7852225,52,0.271604938,0.698158043,0.365079365
287,14,1.3873683,28,0.086419753,0.506845154,0.174603175
288,0,0.73918515,20,0,0.195158634,0.111111111
289,50,1.875,45,0.308641975,0.741328614,0.30952381
290,36,1.6684235,45,0.222222222,0.641993865,0.30952381
291,28,1.5405476,35,0.172839506,0.580503229,0.23015873
292,16,1.7217885,33,0.098765432,0.667655056,0.214285714
293,31,1.7925211,35,0.191358025,0.701667661,0.23015873
294,34,1.7669872,38,0.209876543,0.689389384,0.253968254
295,32,1.6042534,46,0.197530864,0.611136915,0.317460317
296,32,1.7379411,44,0.197530864,0.675422224,0.301587302
297,28,1.5364467,38,0.172839506,0.578531263,0.253968254
298,0,1.1561403,31,0,0.395656441,0.198412698
299,20,1.4644111,33,0.12345679,0.543892094,0.214285714
300,16,1.3006579,29,0.098765432,0.465149435,0.182539683
301,28,1.5405476,35,0.172839506,0.580503229,0.23015873
