Cluster_Kmeans_809962,Ref,x1,y1,x2,y2,Choice R7,Integration [HH] R7,Total Connectivity R7,choice归一化,integration归一化,connectivity归一化
2,446,66900.11021,4849.784814,67179.58003,4715.155244,146,1.3065186,1887,0.002098214,0.643771278,0.651130435
2,447,66961.05228,4760.013999,67037.10171,4893.674844,1036,1.5347459,2405,0.014888694,0.793979394,0.831304348
2,448,66915.23937,4781.527954,66978.91914,4905.118355,154,1.3737643,1863,0.002213184,0.688029129,0.642782609
2,449,66879.96325,4893.674844,67014.19525,4837.372444,752,1.5730783,2349,0.010807237,0.819207917,0.811826087
2,450,66867.10901,4182.456462,67215.60187,4360.722902,650,1.262589,1468,0.009341362,0.61485895,0.505391304
2,451,67985.81252,5493.72194,68010.50306,5665.65502,2677,1.3842649,1582,0.038472041,0.694940114,0.545043478
2,452,68005.3981,5655.514078,68364.32054,6261.689389,2906,1.3119444,1064,0.041763074,0.647342275,0.364869565
3,453,68352.85088,6234.019312,68414.42557,6782.01019,264,1.1351188,698,0.00379403,0.530964259,0.237565217
2,454,68007.16005,5491.7829,68031.8506,5663.71598,2168,1.379437,1582,0.031157035,0.691762624,0.545043478
2,455,68026.74563,5653.575038,68385.66807,6259.750348,2994,1.3089828,1064,0.043027751,0.645393094,0.364869565
3,456,68374.19842,6232.080271,68435.77311,6780.071149,0,1.129081,698,0,0.526990473,0.237565217
3,457,67868.0365,6073.188229,69471.28633,5912.066555,3254,1.2285358,726,0.046764296,0.592446789,0.247304348
3,458,69440.34627,5906.35128,69559.03819,5949.176027,454,1.0856419,541,0.006524582,0.498400969,0.182956522
3,459,69541.89389,5937.316799,69612.44958,6026.91937,339,1.0001984,460,0.00487188,0.44216621,0.154782609
3,460,69599.26155,5998.589147,69685.05292,6259.087953,327,0.99274552,462,0.004699424,0.437261086,0.155478261
3,461,69673.84337,6233.393158,69720.00113,6272.923653,404,1.0481687,493,0.005806016,0.47373793,0.16626087
3,462,69699.55983,6265.676457,69832.09904,6266.335281,567,1.1854601,478,0.008148542,0.564096456,0.161043478
3,463,67870.61856,6054.485617,69473.86838,5893.363943,3079,1.2341144,733,0.044249314,0.596118352,0.24973913
3,464,69442.92833,5887.648668,69561.62025,5930.473416,454,1.0849278,552,0.006524582,0.497930983,0.186782609
3,465,69553.53753,5922.925444,69624.09322,6012.528015,335,1.0002599,464,0.004814394,0.442206686,0.156173913
3,466,69610.90519,5984.197791,69696.69656,6244.696598,325,0.99391526,460,0.004670681,0.438030952,0.154782609
3,467,69676.42543,6214.690546,69722.58319,6254.221042,402,1.0479983,493,0.005777273,0.473625781,0.16626087
3,468,69702.14188,6246.973846,69834.6811,6247.63267,568,1.1854601,482,0.008162913,0.564096456,0.162434783
3,469,67865.76332,6120.847747,67875.4399,6043.501735,906,1.1713123,474,0.013020422,0.554785062,0.159652174
3,470,67798.01625,6137.635787,67870.5895,6109.070525,660,1.0735245,351,0.009485075,0.490425885,0.116869565
3,471,67785.97934,6074.183806,67837.54956,6235.821587,708,0.98008126,356,0.010174899,0.428926086,0.118608696
3,472,67737.23537,6036.774086,67797.28262,6091.829733,148,0.8220554,246,0.002126956,0.324921145,0.080347826
3,473,67740.06093,5962.660689,67744.29945,6055.126056,54,0.66649115,153,0.000776052,0.222536316,0.048
3,474,67706.15177,5942.19125,67745.7124,5976.777458,0,0.50881594,91,0,0.118762156,0.026434783
3,475,67811.09498,6270.545088,67840.79053,6222.717988,0,0.81351453,246,0,0.319299959,0.080347826
3,476,67521.92992,6199.036831,67742.47523,6206.122396,440,1.0255184,530,0.006323384,0.458830603,0.179130435
3,477,67712.69079,6208.95649,67831.82787,6174.237618,362,0.96408278,411,0.00520242,0.418396664,0.13773913
3,478,67509.28735,6815.869323,67623.53392,6236.275132,648,1.0511088,562,0.009312619,0.47567296,0.19026087
3,479,67621.42089,6248.439501,67627.16886,5988.713665,1076,1.1443573,767,0.015463547,0.537044591,0.261565217
2,480,67611.85154,5835.264426,67628.1543,6023.468117,1300,1.2756174,1196,0.018682724,0.62343361,0.410782609
2,481,66768.44817,5818.855464,67699.19734,5851.747987,12568,1.4407347,1733,0.180618829,0.732105791,0.597565217
2,482,67673.2654,5853.924183,67776.51583,5808.323011,1134,1.3151671,1231,0.016297084,0.6494633,0.422956522
2,483,67751.82563,5796.362069,67778.01215,5836.730346,1009,1.279995,831,0.014500668,0.626314733,0.283826087
2,484,67757.81089,5830.0023,68293.51547,5765.712272,2519,1.3242298,1088,0.036201371,0.655427929,0.373217391
2,485,67210.59687,5276.956294,67317.18686,5307.647888,856,1.417523,1876,0.012301855,0.716828979,0.647304348
2,486,67086.49802,5300.895636,67315.65077,5333.121797,7099,1.6590902,2463,0.102022046,0.875816769,0.851478261
1,487,67268.95342,5772.347202,67306.12846,5293.836657,22312,1.6400094,2320,0.320653033,0.863258714,0.80173913
2,488,67082.81431,6831.197264,67274.1663,5738.092192,10273,1.4644446,1906,0.147636635,0.747710495,0.65773913
2,489,66892.02196,5667.93412,67483.73209,5714.917619,5505,1.4663068,1929,0.079114151,0.748936105,0.66573913
2,490,66830.22555,5634.285424,66924.43066,5674.866519,0,1.2601495,1410,0,0.61325339,0.485217391
2,491,66885.5075,5723.338556,66938.53322,5599.340507,156,1.2608271,1410,0.002241927,0.613699353,0.485217391
2,492,66880.99469,5590.886107,67020.89269,5616.249308,82,1.2820632,1469,0.001178449,0.627675922,0.50573913
2,493,66986.57884,5995.268706,67020.50425,5488.825533,8895,1.4729388,2088,0.127832948,0.753300965,0.721043478
2,494,67104.67307,5995.760211,67130.92149,5825.859288,0,1.2531612,1189,0,0.60865403,0.408347826
2,495,67059.59413,5990.058825,67085.27219,5823.578733,732,1.2581472,1189,0.010519811,0.611935573,0.408347826
3,496,67005.95585,5864.628584,67085.27219,5871.470248,30,1.0961342,721,0.00043114,0.50530649,0.245565217
3,497,67009.37979,5986.637993,67012.23268,5862.34803,68,1.1010636,912,0.00097725,0.508550782,0.312
2,498,66977.4249,5951.289528,67021.93347,5961.552024,425,1.2841233,1469,0.006107814,0.62903178,0.50573913
3,499,66997.39649,5982.076884,67073.8596,5983.217161,87,1.0936956,721,0.001250305,0.503701522,0.245565217
2,500,67040.76363,5873.18073,67041.90506,5819.017624,76,1.2564808,1189,0.001092221,0.610838829,0.408347826
2,501,67201.10777,5921.072245,67214.80287,5829.850192,0,1.2531612,1189,0,0.60865403,0.408347826
2,502,66811.94535,5980.936738,66822.78722,5815.596792,440,1.2564808,1189,0.006323384,0.610838829,0.408347826
3,503,66713.23609,5900.933078,66814.90962,5982.131642,63,1.0912679,721,0.000905394,0.502103728,0.245565217
3,504,66713.59408,5881.617142,66719.68033,5907.729374,5,0.9201473,430,7.18566E-05,0.389480466,0.144347826
3,505,66712.5201,5890.201959,66729.70452,5839.050449,182,1.0912679,721,0.002615581,0.502103728,0.245565217
2,506,66724.69225,5845.489094,66780.89911,5815.084388,559,1.2564808,1189,0.008033571,0.610838829,0.408347826
2,507,66779.75214,5823.841813,66806.44815,5725.798862,0,1.2531612,1189,0,0.60865403,0.408347826
2,508,66924.51678,5745.485278,66965.59552,5664.849909,0,1.2587967,1410,0,0.612363042,0.485217391
2,509,67064.76828,5689.663142,67080.58056,5508.893541,1761,1.4277921,2073,0.025307906,0.723587601,0.715826087
2,510,67008.13806,5509.26098,67163.31947,5566.210828,112,1.2868804,1469,0.001609589,0.630846369,0.50573913
2,511,67145.30076,5696.276645,67156.70055,5558.495009,224,1.2642255,1410,0.003219177,0.615936015,0.485217391
2,512,67065.13596,5587.153521,67245.6907,5614.709848,113,1.2519106,1494,0.00162396,0.607830946,0.514434783
2,513,67220.68505,5654.390996,67239.07144,5559.597194,812,1.4189547,2074,0.011669517,0.717771254,0.716173913
2,514,67062.19417,5639.694367,67232.8202,5649.614555,56,1.2519106,1494,0.000804794,0.607830946,0.514434783
2,515,66902.24849,5525.437945,67023.13785,5534.998233,123,1.281378,1469,0.001767673,0.627224956,0.50573913
3,516,66909.71657,5530.801124,66914.15086,5486.730153,0,1.0918264,912,0,0.502471306,0.312
2,517,66905.9827,5492.326387,67026.17163,5502.58637,357,1.281378,1469,0.005130563,0.627224956,0.50573913
2,518,67368.17425,5565.726201,67374.74752,5850.386956,3012,1.4376523,1751,0.043286435,0.730077106,0.603826087
2,519,67469.45624,5847.795441,67478.31167,5706.614268,183,1.3165613,1425,0.002629953,0.650380895,0.490434783
2,520,67547.99952,5853.950504,67553.00453,5703.53667,1517,1.266546,1189,0.021801302,0.617463255,0.408347826
3,521,67485.62686,5728.156925,67591.12107,5726.233493,222,1.1135135,721,0.003190434,0.516744701,0.245565217
2,522,67487.93705,5850.103639,67488.707,5722.001862,411,1.2614933,1189,0.005906615,0.614137813,0.408347826
3,523,67499.74257,5569.80083,67514.88798,5733.54259,86,1.0493959,660,0.001235934,0.474545613,0.224347826
3,524,67456.56809,5572.103474,67535.4123,5578.282081,564,1.143307,1002,0.008105428,0.536353335,0.343304348
3,525,67524.97719,5569.786413,67592.61946,5712.712589,0,0.94867563,619,0,0.408256426,0.210086957
2,526,67470.87438,5550.909209,67477.05817,5579.48545,1030,1.3247079,1558,0.014802466,0.655742591,0.536695652
3,527,67534.66899,5795.479448,67608.87552,5795.865537,197,1.1035156,721,0.002831151,0.510164569,0.245565217
3,528,67479.40087,5812.084563,67559.4045,5812.084563,5,1.1035156,721,7.18566E-05,0.510164569,0.245565217
3,529,67510.32018,5758.021319,67616.60543,5758.40754,47,1.1035156,721,0.000675452,0.510164569,0.245565217
3,530,67602.69173,5804.747426,67606.55669,5720.1771,0,0.93152916,431,0,0.396971453,0.144695652
2,531,67802.47821,5507.389132,67846.38113,5826.498669,2187,1.3648726,1574,0.031430091,0.682177044,0.54226087
2,532,67695.95152,5692.985964,68012.30203,5649.660584,648,1.2149162,1048,0.009312619,0.58348303,0.359304348
2,533,67620.39499,5538.246721,67707.06665,5697.272618,275,1.3247079,1558,0.003952115,0.655742591,0.536695652
3,534,67754.34197,5637.44106,67761.82699,5690.580945,4,1.0334531,663,5.74853E-05,0.464052837,0.225391304
2,535,67739.37123,5644.92012,67969.91065,5616.578786,270,1.1786145,1027,0.003880258,0.559591015,0.352
