Ref,Choice R3,Integration [HH] R3,Total Connectivity R3,Choice R3,Integration [HH] R3,Total Connectivity R3
288,10,1.1365665,32,0.012121212,0.302249666,0.055679287
289,6,0.8870222,22,0.007272727,0.208348312,0.033407572
290,6,0.84912294,16,0.007272727,0.194087149,0.020044543
291,6,0.84912294,14,0.007272727,0.194087149,0.0155902
292,6,0.84912294,15,0.007272727,0.194087149,0.017817372
293,6,0.8619656,20,0.007272727,0.198919731,0.028953229
294,8,1,27,0.00969697,0.250860877,0.04454343
295,14,1.3076391,40,0.016969697,0.3666228,0.073496659
296,45,1.6132691,43,0.054545455,0.481628716,0.080178174
297,10,1.1365665,32,0.012121212,0.302249666,0.055679287
298,6,0.8870222,22,0.007272727,0.208348312,0.033407572
299,8,1.0697098,35,0.00969697,0.27709207,0.062360802
300,10,1.1981546,42,0.012121212,0.325424733,0.077951002
301,8,1.0445806,29,0.00969697,0.26763617,0.048997773
302,26,1.3845592,36,0.031515152,0.395567166,0.064587973
303,8,1.0445806,32,0.00969697,0.26763617,0.055679287
304,26,1.3873369,40,0.031515152,0.396612391,0.073496659
305,8,1.0207884,28,0.00969697,0.258683372,0.046770601
306,250,2.6393981,307,0.303030303,0.867752152,0.668151448
307,251,2.5746148,270,0.304242424,0.843374759,0.585746102
308,101,2.1036434,178,0.122424242,0.666152309,0.380846325
309,18,1.6693437,115,0.021818182,0.502729102,0.240534521
310,70,2.1775017,288,0.084848485,0.693944546,0.625835189
311,61,1.8883823,209,0.073939394,0.585151426,0.449888641
312,60,2.3333955,257,0.072727273,0.75260603,0.556792873
313,198,2.5665982,331,0.24,0.840358182,0.721603563
314,98,2.3421185,366,0.118787879,0.755888419,0.799554566
315,13,1.9596733,279,0.015757576,0.61197761,0.605790646
316,13,1.8443592,229,0.015757576,0.568585915,0.494432071
317,20,1.6883124,188,0.024242424,0.509866859,0.40311804
318,6,0.84912294,14,0.007272727,0.194087149,0.0155902
319,20,1.5688319,79,0.024242424,0.464907384,0.160356347
320,8,1.0697098,44,0.00969697,0.27709207,0.082405345
321,6,0.8619656,23,0.007272727,0.198919731,0.035634744
322,6,0.84912294,15,0.007272727,0.194087149,0.017817372
323,6,0.84912294,14,0.007272727,0.194087149,0.0155902
