Ref,Choice R3,Integration [HH] R3,Total Connectivity R3,Choice R3 normal,Integration [HH] R3 normal,Total Connectivity R3 normal
221,52,1.8962001,97,0.325,0.765350286,0.391304348
222,36,1.6741856,89,0.225,0.656627735,0.356521739
223,14,1.3006579,41,0.0875,0.473707771,0.147826087
224,8,1.0207884,33,0.05,0.336653092,0.113043478
225,8,1,28,0.05,0.32647282,0.091304348
226,12,1.2063863,29,0.075,0.427542098,0.095652174
227,12,1.2063863,30,0.075,0.427542098,0.1
228,8,1.0207884,35,0.05,0.336653092,0.12173913
229,10,1.1365665,39,0.0625,0.393350697,0.139130435
230,20,1.6008096,40,0.125,0.62069483,0.143478261
231,20,1.550553,46,0.125,0.596083709,0.169565217
232,10,1.1191936,36,0.0625,0.384843027,0.126086957
233,6,0.8870222,28,0.0375,0.271146548,0.091304348
234,6,0.8619656,23,0.0375,0.2588761,0.069565217
235,8,1.0207884,33,0.05,0.336653092,0.113043478
236,16,1.3873683,40,0.1,0.516170654,0.143478261
237,20,1.550553,46,0.125,0.596083709,0.169565217
238,10,1.1191936,36,0.0625,0.384843027,0.126086957
239,6,0.8870222,28,0.0375,0.271146548,0.091304348
240,6,0.8619656,23,0.0375,0.2588761,0.069565217
241,8,1.0207884,33,0.05,0.336653092,0.113043478
242,16,1.3873683,40,0.1,0.516170654,0.143478261
243,36,1.7217885,48,0.225,0.679939315,0.17826087
244,20,1.3938289,58,0.125,0.51933447,0.22173913
245,26,1.6037242,82,0.1625,0.622122137,0.326086957
246,16,1.31797,52,0.1,0.482185666,0.195652174
247,18,1.3873683,43,0.1125,0.516170654,0.156521739
248,32,1.6071428,80,0.2,0.623796257,0.317391304
249,32,1.6042534,72,0.2,0.622381291,0.282608696
250,24,1.5365106,63,0.15,0.589207016,0.243478261
251,24,1.5405476,54,0.15,0.591183972,0.204347826
252,20,1.4666082,57,0.125,0.554975165,0.217391304
253,16,1.3006579,43,0.1,0.473707771,0.156521739
254,32,1.6037242,67,0.2,0.622122137,0.260869565
255,32,1.6071428,79,0.2,0.623796257,0.313043478
256,36,1.6700469,87,0.225,0.654600975,0.347826087
257,24,1.5598243,83,0.15,0.60062395,0.330434783
258,28,1.6673985,82,0.175,0.65330403,0.326086957
259,52,1.8597906,76,0.325,0.747520218,0.3
260,36,1.6734514,62,0.225,0.656268191,0.239130435
261,36,1.6684235,65,0.225,0.653805981,0.252173913
262,0,1.2552096,59,0,0.451451318,0.226086957
263,18,1.3845592,47,0.1125,0.514795012,0.173913043
264,16,1.3006579,42,0.1,0.473707771,0.152173913
265,15,1.3845592,46,0.09375,0.514795012,0.169565217
266,15,1.3873683,42,0.09375,0.516170654,0.152173913
267,14,1.2989333,39,0.0875,0.472863218,0.139130435
268,8,1,26,0.05,0.32647282,0.082608696
269,6,0.84912294,17,0.0375,0.252586931,0.043478261
270,4,0.70398736,10,0.025,0.181512697,0.013043478
271,0,0.33333334,7,0,0,0
272,36,1.8105773,44,0.225,0.72342001,0.160869565
273,24,1.4864661,42,0.15,0.564699762,0.152173913
274,32,1.6261337,56,0.2,0.633096276,0.213043478
275,24,1.4864661,38,0.15,0.564699762,0.134782609
276,0,0.8870222,29,0,0.271146548,0.095652174
277,14,1.3270249,29,0.0875,0.486619934,0.095652174
278,10,1.1365665,43,0.0625,0.393350697,0.156521739
279,14,1.31797,60,0.0875,0.482185666,0.230434783
280,54,1.9329244,122,0.3375,0.783334515,0.5
281,58,1.9304764,125,0.3625,0.782135707,0.513043478
282,40,1.7495173,60,0.25,0.693518364,0.230434783
283,36,1.6828449,64,0.225,0.660868274,0.247826087
284,28,1.5365106,58,0.175,0.589207016,0.22173913
285,16,1.3873369,51,0.1,0.516155278,0.191304348
286,6,0.8870222,29,0.0375,0.271146548,0.095652174
287,0,0.42239243,14,0,0.043613059,0.030434783
288,18,1.3873683,44,0.1125,0.516170654,0.160869565
289,14,1.2123377,47,0.0875,0.430456553,0.173913043
290,18,1.3304729,69,0.1125,0.488308452,0.269565217
291,32,1.787379,113,0.2,0.712059588,0.460869565
292,58,1.9329244,114,0.3625,0.783334515,0.465217391
293,84,2.063493,132,0.525,0.847275164,0.543478261
294,36,1.6684235,70,0.225,0.653805981,0.273913043
295,16,1.4028426,62,0.1,0.523748562,0.239130435
296,8,1.0207884,35,0.05,0.336653092,0.12173913
297,6,0.8619656,21,0.0375,0.2588761,0.060869565
298,6,0.84912294,16,0.0375,0.252586931,0.039130435
299,6,0.8619656,20,0.0375,0.2588761,0.056521739
300,8,1,28,0.05,0.32647282,0.091304348
301,14,1.3006579,42,0.0875,0.473707771,0.152173913
302,36,1.6684235,74,0.225,0.653805981,0.291304348
303,16,1.3988512,34,0.1,0.521793937,0.117391304
304,8,1.0207884,30,0.05,0.336653092,0.1
305,6,0.8619656,22,0.0375,0.2588761,0.065217391
306,6,0.8619656,21,0.0375,0.2588761,0.060869565
307,8,1,27,0.05,0.32647282,0.086956522
308,14,1.2989333,34,0.0875,0.472863218,0.117391304
309,28,1.6008096,36,0.175,0.62069483,0.126086957
310,36,1.6673985,86,0.225,0.65330403,0.343478261
311,14,1.3057258,34,0.0875,0.476189568,0.117391304
312,8,1.0445806,40,0.05,0.348304352,0.143478261
313,10,1.1561403,53,0.0625,0.402936167,0.2
314,22,1.6042534,85,0.1375,0.622381291,0.339130435
315,14,1.3006579,46,0.0875,0.473707771,0.169565217
316,12,1.2552096,59,0.075,0.451451318,0.226086957
317,22,1.6071428,89,0.1375,0.623796257,0.356521739
318,24,1.5154221,38,0.15,0.578879783,0.134782609
319,14,1.3006579,42,0.0875,0.473707771,0.152173913
320,12,1.2241485,43,0.075,0.436240411,0.156521739
