Ref,Choice R3,Integration [HH] R3,Total Connectivity R3,Choice R3,Integration [HH] R3,Total Connectivity R3
340,6,0.84912294,14,0.006857143,0.192528981,0.018817204
341,6,0.84912294,14,0.006857143,0.192528981,0.018817204
342,6,0.84912294,14,0.006857143,0.192528981,0.018817204
343,6,0.84912294,18,0.006857143,0.192528981,0.029569892
344,6,0.94787496,45,0.006857143,0.229390186,0.102150538
345,14,1.469555,86,0.016,0.424117894,0.212365591
346,134,2.2786884,155,0.153142857,0.726143428,0.397849462
347,104,2.3333955,190,0.118857143,0.746563968,0.491935484
348,48,2.1376264,139,0.054857143,0.673489161,0.35483871
349,402,2.7145495,148,0.459428571,0.888837467,0.379032258
350,26,1.8391043,105,0.029714286,0.562059702,0.26344086
351,26,1.6460875,121,0.029714286,0.490012248,0.306451613
352,4,1.2639573,71,0.004571429,0.347374362,0.172043011
353,0,1.226782,79,0,0.333497923,0.193548387
354,72,1.8416041,86,0.082285714,0.562992804,0.212365591
355,10,1.1561403,42,0.011428571,0.307129469,0.094086022
356,0,0.56608194,21,0,0.086878159,0.037634409
357,9,1.238816,44,0.010285714,0.337989859,0.099462366
358,3,1.0698866,58,0.003428571,0.274933517,0.137096774
359,16,1.6092162,103,0.018285714,0.476249283,0.258064516
360,9,1.4028426,65,0.010285714,0.399216131,0.155913978
361,9,1.4028426,65,0.010285714,0.399216131,0.155913978
362,10,1.5627899,115,0.011428571,0.458919721,0.290322581
363,8,1.5627899,115,0.009142857,0.458919721,0.290322581
364,183,2.3647449,219,0.209142857,0.75826577,0.569892473
365,10,1.2196002,53,0.011428571,0.33081717,0.123655914
366,63,1.8391043,109,0.072,0.562059702,0.274193548
367,1,1.5627899,112,0.001142857,0.458919721,0.282258065
368,7,1.3235294,82,0.008,0.369610862,0.201612903
369,6,0.8870222,27,0.006857143,0.206675653,0.053763441
370,6,0.84912294,16,0.006857143,0.192528981,0.024193548
371,6,0.84912294,13,0.006857143,0.192528981,0.016129032
372,6,0.87255627,11,0.006857143,0.201275949,0.010752688
373,4,0.70398736,9,0.004571429,0.138354168,0.005376344
374,0,0.33333334,7,0,0,0
375,315,2.5245073,188,0.36,0.817900342,0.48655914
376,14,1.6216003,107,0.016,0.480871901,0.268817204
377,0,1.5003179,103,0,0.435600773,0.258064516
378,16,1.3076391,49,0.018285714,0.363679484,0.112903226
379,12,1.2241485,44,0.013714286,0.332514916,0.099462366
380,14,1.3746208,68,0.016,0.388681769,0.163978495
381,12,1.2222222,29,0.013714286,0.331795885,0.059139785
382,6,0.84912294,17,0.006857143,0.192528981,0.02688172
383,0,0.42239243,12,0,0.033243121,0.01344086
384,9,1.3088794,74,0.010285714,0.364142451,0.180107527
385,4,1.0207884,39,0.004571429,0.256606613,0.086021505
386,9,1.3076391,72,0.010285714,0.363679484,0.174731183
387,42,1.8358343,141,0.048,0.560839108,0.360215054
388,12,1.4028426,81,0.013714286,0.399216131,0.198924731
389,25,1.8880572,114,0.028571429,0.58033237,0.287634409
390,0,1.632839,83,0,0.485066975,0.204301075
391,28,1.7841618,87,0.032,0.541551294,0.215053763
392,6,1.152335,52,0.006857143,0.305709063,0.120967742
393,6,0.84912294,25,0.006857143,0.192528981,0.048387097
394,6,0.84912294,14,0.006857143,0.192528981,0.018817204
395,6,0.84912294,16,0.006857143,0.192528981,0.024193548
396,6,0.8870222,20,0.006857143,0.206675653,0.034946237
397,10,1.1058542,32,0.011428571,0.288359157,0.067204301
398,36,1.4724894,58,0.041142857,0.425213218,0.137096774
399,0,0.80638385,28,0,0.176575745,0.056451613
400,24,1.7820429,88,0.027428571,0.540760372,0.217741935
401,0,1.632839,83,0,0.485066975,0.204301075
402,28,1.7820429,84,0.032,0.540760372,0.206989247
403,4,1.054376,47,0.004571429,0.26914387,0.107526882
404,0,0.33333334,18,0,0,0.029569892
405,0,1.632839,83,0,0.485066975,0.204301075
406,0,1.632839,83,0,0.485066975,0.204301075
407,28,1.7841618,87,0.032,0.541551294,0.215053763
408,6,1.152335,52,0.006857143,0.305709063,0.120967742
409,6,0.84912294,27,0.006857143,0.192528981,0.053763441
410,6,0.8870222,20,0.006857143,0.206675653,0.034946237
411,10,1.1058542,32,0.011428571,0.288359157,0.067204301
412,32,1.8140556,116,0.036571429,0.552709765,0.293010753
413,20,1.5352089,92,0.022857143,0.44862455,0.228494624
414,2,1.0697098,60,0.002285714,0.274867523,0.142473118
415,24,1.4255327,74,0.027428571,0.407685673,0.180107527
416,26,1.4803609,83,0.029714286,0.428151416,0.204301075
417,14,1.40625,74,0.016,0.400488012,0.180107527
418,41,1.6037242,66,0.046857143,0.474199282,0.158602151
419,11,1.4635203,53,0.012571429,0.421865319,0.123655914
420,19,1.4864661,43,0.021714286,0.430430307,0.096774194
421,13,1.3873683,42,0.014857143,0.393440033,0.094086022
422,10,1.2063863,32,0.011428571,0.325884812,0.067204301
423,0,0.63684219,22,0,0.113290865,0.040322581
424,40,1.606352,73,0.045714286,0.475180162,0.177419355
425,0,0.88468331,37,0,0.205802614,0.080645161
426,45,1.7777745,113,0.051428571,0.539167104,0.284946237
427,28,1.8188498,133,0.032,0.554499297,0.338709677
428,39,1.8,73,0.044571429,0.547463225,0.177419355
429,111,2.1507413,91,0.126857143,0.678384565,0.225806452
430,9,1.6211112,106,0.010285714,0.480689335,0.266129032
431,4,1.1768752,50,0.004571429,0.314869193,0.115591398
432,9,1.4644111,51,0.010285714,0.422197828,0.11827957
