Depthmap_Ref,Choice_R3,Integration_HH_R3,Total_Connectivity_R3,Choice_R3,Integration_HH_R3,Total_Connectivity_R3
206,70,2.0209444,164,0.546875,0.799710811,0.862637363
207,44,1.7963344,135,0.34375,0.69327453,0.703296703
208,22,1.6037242,79,0.171875,0.602002043,0.395604396
209,28,1.6008096,38,0.21875,0.600620897,0.17032967
210,10,1.2063863,29,0.078125,0.41371493,0.120879121
211,0,0.63684219,20,0,0.143824199,0.071428571
212,56,1.8861139,111,0.4375,0.735818478,0.571428571
213,62,1.9491093,111,0.484375,0.765670204,0.571428571
214,0,0.84912294,19,0,0.244418,0.065934066
215,0,1,29,0,0.315914341,0.120879121
216,20,1.4244281,34,0.15625,0.517038728,0.148351648
217,26,1.6734514,71,0.203125,0.635043777,0.351648352
218,36,1.6666666,78,0.28125,0.631828653,0.39010989
219,21,1.6132691,64,0.1640625,0.606525099,0.313186813
220,0,1.1561403,55,0,0.389904781,0.263736264
221,0,1.238816,58,0,0.429082441,0.28021978
222,28,1.5365106,74,0.21875,0.570151432,0.368131868
223,32,1.606352,72,0.25,0.603247282,0.357142857
224,0,1.0697098,50,0,0.348947829,0.236263736
225,12,1.2123377,50,0.09375,0.416535129,0.236263736
226,6,0.84912294,22,0.046875,0.244418,0.082417582
227,0,0.42239243,12,0,0.042202566,0.027472527
228,0,1.1,31,0,0.363301492,0.131868132
229,20,1.3988512,46,0.15625,0.504918564,0.214285714
230,0,1.0207884,40,0,0.325765371,0.181318681
231,56,1.8855816,125,0.4375,0.735566236,0.648351648
232,30,1.7265038,94,0.234375,0.660183798,0.478021978
233,20,1.3938289,62,0.15625,0.502538639,0.302197802
234,24,1.5668709,37,0.1875,0.584538314,0.164835165
235,36,1.6741856,97,0.28125,0.635391693,0.494505495
236,16,1.4028426,64,0.125,0.506809974,0.313186813
237,10,1.1365665,43,0.078125,0.380629315,0.197802198
238,12,1.2123377,45,0.09375,0.416535129,0.208791209
239,32,1.6071428,81,0.25,0.60362202,0.406593407
240,36,1.6700469,92,0.28125,0.633430481,0.467032967
241,44,1.7914909,118,0.34375,0.690979333,0.60989011
242,36,1.6794915,100,0.28125,0.637906008,0.510989011
243,66,1.9756846,133,0.515625,0.778263481,0.692307692
244,66,1.9787503,148,0.515625,0.779716229,0.774725275
245,48,1.8427275,127,0.375,0.715258899,0.659340659
246,26,1.7372102,115,0.203125,0.665257256,0.593406593
247,10,1.1768752,59,0.078125,0.39973046,0.285714286
