Ref,x1,y1,x2,y2,Choice R3,Choice R7,Choice [Connectivity Wgt] R3,Choice [Connectivity Wgt] R7,Choice [Connectivity Wgt][Norm] R3,Choice [Connectivity Wgt][Norm] R7,Choice [Norm] R3,Choice [Norm] R7,Connectivity,Control,Controllability,Entropy R3,Entropy R7,Harmonic Mean Depth R3,Harmonic Mean Depth R7,Integration [HH] R3,Integration [HH] R7,Integration [P-value] R3,Integration [P-value] R7,Integration [Tekl] R3,Integration [Tekl] R7,Intensity R3,Intensity R7,Line Length,Mean Depth R3,Mean Depth R7,Mean Depth [Connectivity Wgt] R3,Mean Depth [Connectivity Wgt] R7,Node Count R3,Node Count R7,RA R3,RA R7,RA [Penn] R3,RA [Penn] R7,RRA R3,RRA R7,Relativised Entropy R3,Relativised Entropy R7,Total Connectivity R3,Total Connectivity R7,Total Depth R3,Total Depth R7
1993,13401.8617075,-848.2779092,13577.4459403,-939.303922989,28,335,462,2998,0.1480532,0.10238372,0.11067194,0.12072072,3,1,0.30000001,1.3725854,2.6221354,7.2317882,8.9209614,1.5688319,0.98683012,1.5688319,0.98683012,0.68579727,0.63842344,1.0294391,0.69923609,197.77654,2.4347825,4.8133335,2.3037975,4.7768593,24,76,0.13043478,0.10306306,0.23255815,0.33333334,0.6374169,1.0133456,1.9203424,2.5797305,79,242,56,361
1994,13418.0920892,-881.098045965,13432.1962687,-850.263843553,67,443,1015,4781,0.33366206,0.17168199,0.26482213,0.17826962,4,1.1666666,0.2857143,1.4877305,2.6753109,8.6746988,9.6420298,1.8489804,1.0075513,1.8489804,1.0075513,0.7196123,0.63937271,1.3224272,0.74371576,33.906872,2.2173913,4.661972,2.0512822,4.6186442,24,72,0.11067194,0.10462777,0.3488372,0.35802469,0.5408386,0.99250525,1.6236835,2.5281873,78,236,51,331
1995,13432.1962687,-850.263843553,13462.1078159,-787.406251105,26,123,549,1865,0.21781392,0.10442037,0.15204678,0.077067666,4,1.1166667,0.44444445,1.4643856,2.6941404,7.2727275,8.064496,1.5395753,0.9540484,1.5395753,0.9540484,0.68260622,0.62715513,1.2203213,0.77356505,69.611618,2.3157895,4.5614033,2.1408451,4.5185184,20,58,0.14619882,0.12719299,0.2857143,0.36760125,0.64952976,1.0481648,1.7376446,2.4164736,71,189,44,260
1996,13462.1078159,-787.406251105,13499.2662619,-724.796578683,0,0,123,522,0.078443877,0.029226506,0,0,3,0.78333336,0.5,1.4124463,2.6290874,5.0526314,6.834044,1.238816,0.88840288,1.238816,0.88840288,0.63570756,0.61885178,1.1770386,0.70270538,72.806053,2.3571429,4.8245616,2.1785715,4.7301588,15,58,0.20879121,0.13659148,0.23999999,0.32087228,0.80722237,1.1256155,1.7732133,2.5051513,56,189,33,275
1997,13102.2786939,-770.996067578,13361.3859406,-779.972022613,73,714,1200,9422,0.34013605,0.19482842,0.24333334,0.14718615,6,1.5666667,0.375,1.5481774,2.6608377,10.588235,13.197924,2.0993643,1.0782797,2.0993643,1.0782797,0.74572456,0.65516973,1.4908375,0.70206797,259.26266,2.1199999,4.8383837,1.8928572,4.6463022,26,100,0.093333334,0.078334361,0.40425533,0.33682373,0.47633466,0.92740315,1.5046573,2.5875928,84,311,53,479
1998,13361.3859406,-779.972022613,13462.1078159,-787.406251105,44,265,787,4093,0.35063487,0.13203013,0.25730994,0.092982456,5,1.4166666,0.45454547,1.549861,2.6593387,8.1355934,10.188392,1.7495173,0.98407191,1.7495173,0.98407191,0.71083611,0.63845307,1.476058,0.70367384,100.99586,2.1578948,4.8421054,1.880597,4.7148595,20,77,0.12865497,0.10245614,0.37142858,0.32873562,0.57158619,1.0161859,1.521062,2.5677552,67,249,41,368
1999,13462.1078159,-787.406251105,13880.6579693,-800.249556073,0,0,123,522,0.078443877,0.029226506,0,0,3,0.78333336,0.5,1.4124463,2.6290874,5.0526314,6.834044,1.238816,0.88840288,1.238816,0.88840288,0.63570756,0.61885178,1.1770386,0.70270538,418.74716,2.3571429,4.8245616,2.1785715,4.7301588,15,58,0.20879121,0.13659148,0.23999999,0.32087228,0.80722237,1.1256155,1.7732133,2.5051513,56,189,33,275
2000,13102.2786939,-770.996067578,13110.4161486,-643.999313868,48,650,749,7137,0.19344008,0.14949571,0.14769231,0.13399298,5,1.5,0.38461539,1.4782118,2.656841,9.9521532,12.658871,1.8344558,1.0782797,1.8344558,1.0782797,0.71624231,0.65516973,1.209446,0.70101345,127.25719,2.3076923,4.8383837,2.125,4.6537218,27,100,0.10461538,0.078334361,0.30612245,0.33682373,0.54512078,0.92740315,1.7494507,2.551996,88,309,60,479
2001,13110.4161486,-643.999313868,13118.8319021,-613.752463854,14,398,288,4036,0.17122473,0.12711011,0.10294118,0.12917884,2,0.53333336,0.25,1.3805348,2.5873036,5.1428571,7.669601,1.3443909,0.96435404,1.3443909,0.96435404,0.65431285,0.6372084,1.0804185,0.66129166,31.395809,2.4117646,4.9746838,2.224138,4.8928571,18,80,0.17647059,0.10191496,0.22580644,0.30684328,0.74383128,1.0369636,1.8379663,2.5864272,58,252,41,393
2002,13118.8319021,-613.752463854,13147.1627125,-577.207897378,12,324,190,3224,0.22605592,0.15647067,0.18181819,0.16071428,3,1.1666666,0.5,1.4912097,2.5566826,4.8000002,6.9137521,1.2123377,0.87077868,1.2123377,0.87077868,0.62951124,0.61999726,1.3846948,0.63917065,46.240028,2.25,5.078125,2.1707318,5.0788178,13,65,0.22727273,0.12946428,0.2857143,0.28099173,0.82485271,1.1483974,1.5790722,2.6596143,41,203,27,325
2003,13147.1627125,-577.207897378,13157.6824044,-567.630772627,12,146,109,1309,0.32248521,0.11635555,0.33333334,0.11918367,3,1.1666666,0.5,1.563269,2.5314915,4,5.5880599,1.2222222,0.7829653,1.2222222,0.7829653,0.63092977,0.60036552,1.9540863,0.62978572,14.226216,2,5.1199999,1.8076923,5.0933332,10,51,0.25,0.16816327,0.40000001,0.26164874,0.81818181,1.2771958,1.2090708,2.7170334,26,150,18,256
2004,13157.6824044,-567.630772627,13163.237247,-565.527201243,8,96,76,786,0.34467119,0.12758705,0.2857143,0.13655761,2,0.83333331,0.40000001,1.5388472,2.5005634,3.4285715,4.2985077,0.98558021,0.68635845,0.98558021,0.68635845,0.57015699,0.5756216,1.7312031,0.61722767,5.9398055,2.125,5.1842103,1.8571428,5.189189,9,39,0.32142857,0.22617353,0.30769232,0.23188406,1.0146308,1.4569647,1.293768,2.7736278,21,111,17,197
