Cluster_Kmeans_740984,Ref,Choice R3,Integration [HH] R3,Total Connectivity R3,Choice R3,Integration [HH] R3,Total Connectivity R3
3,258,26,1.7495173,68,0.031515152,0.532897731,0.135857461
3,259,10,1.1768752,57,0.012121212,0.31741748,0.111358575
3,260,6,0.8870222,30,0.007272727,0.208348312,0.051224944
3,261,6,0.84912294,16,0.007272727,0.194087149,0.020044543
3,262,6,0.84912294,14,0.007272727,0.194087149,0.0155902
3,263,6,0.84912294,13,0.007272727,0.194087149,0.013363029
3,264,6,0.87255627,11,0.007272727,0.202904908,0.008908686
3,265,4,0.70398736,9,0.004848485,0.13947389,0.004454343
3,266,0,0.33333334,7,0,0,0
2,267,40,1.7777745,121,0.048484848,0.543530671,0.25389755
3,268,10,1.1561403,37,0.012121212,0.309615117,0.066815145
3,269,8,1.0445806,35,0.00969697,0.26763617,0.062360802
3,270,14,1.3076391,42,0.016969697,0.3666228,0.077951002
3,271,48,1.6684235,58,0.058181818,0.502382838,0.113585746
3,272,12,1.2552096,48,0.014545455,0.346894035,0.091314031
3,273,12,1.2552096,86,0.014545455,0.346894035,0.175946548
2,274,28,1.7429876,186,0.033939394,0.530440662,0.398663697
2,275,188,2.6383641,288,0.227878788,0.867363067,0.625835189
1,276,261,2.6536639,418,0.316363636,0.873120249,0.915367483
1,277,825,2.9082851,456,1,0.968931996,1
2,278,151,2.6536639,389,0.183030303,0.873120249,0.85077951
2,279,236,2.5011437,316,0.286060606,0.815728222,0.688195991
1,280,325,2.5001314,214,0.393939394,0.815347302,0.461024499
2,281,108,2.019321,130,0.130909091,0.634422522,0.273942094
3,282,26,1.3938289,61,0.031515152,0.399055274,0.120267261
2,283,25,1.7914909,127,0.03030303,0.548692033,0.267260579
3,284,13,1.6828449,86,0.015757576,0.507809486,0.175946548
3,285,3,1.31797,64,0.003636364,0.370510228,0.126948775
3,286,14,1.6037242,84,0.016969697,0.478037053,0.171492205
3,287,28,1.6666666,89,0.033939394,0.501721732,0.182628062
3,288,10,1.1365665,32,0.012121212,0.302249666,0.055679287
3,289,6,0.8870222,22,0.007272727,0.208348312,0.033407572
3,290,6,0.84912294,16,0.007272727,0.194087149,0.020044543
3,291,6,0.84912294,14,0.007272727,0.194087149,0.0155902
3,292,6,0.84912294,15,0.007272727,0.194087149,0.017817372
3,293,6,0.8619656,20,0.007272727,0.198919731,0.028953229
3,294,8,1,27,0.00969697,0.250860877,0.04454343
3,295,14,1.3076391,40,0.016969697,0.3666228,0.073496659
3,296,45,1.6132691,43,0.054545455,0.481628716,0.080178174
3,297,10,1.1365665,32,0.012121212,0.302249666,0.055679287
3,298,6,0.8870222,22,0.007272727,0.208348312,0.033407572
3,299,8,1.0697098,35,0.00969697,0.27709207,0.062360802
3,300,10,1.1981546,42,0.012121212,0.325424733,0.077951002
3,301,8,1.0445806,29,0.00969697,0.26763617,0.048997773
3,302,26,1.3845592,36,0.031515152,0.395567166,0.064587973
3,303,8,1.0445806,32,0.00969697,0.26763617,0.055679287
3,304,26,1.3873369,40,0.031515152,0.396612391,0.073496659
3,305,8,1.0207884,28,0.00969697,0.258683372,0.046770601
2,306,250,2.6393981,307,0.303030303,0.867752152,0.668151448
2,307,251,2.5746148,270,0.304242424,0.843374759,0.585746102
