Cluster_Kmeans_479126,Ref,Choice R3,Integration [HH] R3,Total Connectivity R3,Choice R3 n,Integration [HH] R3 n,Total Connectivity R3 n
2,242,50,2.1428571,80,0.127226463,0.78915413,0.250859107
2,243,26,1.7495173,76,0.066157761,0.617614118,0.237113402
3,244,10,1.2196002,75,0.025445293,0.386511174,0.233676976
3,245,10,1.2621337,87,0.025445293,0.405060523,0.274914089
2,246,30,1.8337219,104,0.076335878,0.654336713,0.333333333
1,247,125,2.3809533,120,0.318066158,0.892990622,0.388316151
2,248,30,1.8337219,105,0.076335878,0.654336713,0.336769759
2,249,12,1.3455029,89,0.030534351,0.44141879,0.281786942
3,250,16,1.3873369,59,0.040712468,0.459663079,0.178694158
3,251,16,1.3873683,43,0.040712468,0.459676773,0.12371134
3,252,8,1.0207884,33,0.020356234,0.299807061,0.089347079
3,253,6,0.8619656,21,0.015267176,0.23054261,0.048109966
2,254,62,2.062937,119,0.157760814,0.754300055,0.384879725
3,255,0,1.4028426,82,0,0.466425293,0.257731959
3,256,14,1.3057258,35,0.03562341,0.424071539,0.096219931
3,257,8,1,26,0.020356234,0.290741,0.065292096
3,258,6,0.8619656,20,0.015267176,0.23054261,0.04467354
3,259,6,0.84912294,15,0.015267176,0.224941779,0.027491409
3,260,6,0.84912294,14,0.015267176,0.224941779,0.024054983
3,261,6,0.84912294,14,0.015267176,0.224941779,0.024054983
3,262,6,0.84912294,14,0.015267176,0.224941779,0.024054983
3,263,6,0.84912294,14,0.015267176,0.224941779,0.024054983
3,264,6,0.84912294,14,0.015267176,0.224941779,0.024054983
3,265,6,0.84912294,14,0.015267176,0.224941779,0.024054983
3,266,6,0.84912294,14,0.015267176,0.224941779,0.024054983
3,267,6,0.84912294,14,0.015267176,0.224941779,0.024054983
3,268,6,0.84912294,14,0.015267176,0.224941779,0.024054983
3,269,6,0.84912294,14,0.015267176,0.224941779,0.024054983
3,270,6,0.84912294,14,0.015267176,0.224941779,0.024054983
3,271,6,0.84912294,15,0.015267176,0.224941779,0.027491409
3,272,6,0.8619656,23,0.015267176,0.23054261,0.054982818
3,273,8,1.0697098,58,0.020356234,0.321142246,0.175257732
2,274,20,1.6434549,152,0.050890585,0.571359085,0.498281787
2,275,34,1.9373348,150,0.086513995,0.699523491,0.491408935
3,276,10,1.2829794,98,0.025445293,0.414151572,0.312714777
3,277,8,1.0207884,44,0.020356234,0.299807061,0.127147766
3,278,12,1.2123377,55,0.030534351,0.383343914,0.164948454
2,279,24,1.4896638,86,0.061068702,0.504289017,0.271477663
2,280,42,1.9851656,123,0.106870229,0.720383053,0.39862543
3,281,0,1.3938289,84,0,0.462494315,0.264604811
2,282,20,1.6684235,99,0.050890585,0.582248179,0.316151203
2,283,18,1.6042534,99,0.045801527,0.55426286,0.316151203
3,284,0,0.88468331,49,0,0.240450065,0.144329897
3,285,0,0.56608194,34,0,0.101504342,0.092783505
3,286,10,1.2196002,82,0.025445293,0.386511174,0.257731959
2,287,36,1.9768722,166,0.091603053,0.716766206,0.546391753
2,288,50,1.8861139,132,0.127226463,0.677185467,0.429553265
1,289,52,2.2522225,154,0.132315522,0.836849639,0.505154639
1,290,77,2.1913517,155,0.195928753,0.810303183,0.508591065
2,291,55,1.9916508,142,0.139949109,0.723211323,0.463917526
2,292,56,2.1571438,119,0.142493639,0.795384724,0.384879725
2,293,43,1.9731473,125,0.109414758,0.715141734,0.405498282
2,294,0,1.4803609,102,0,0.500231915,0.326460481
2,295,17,1.8962001,131,0.043256997,0.681584175,0.426116838
2,296,0,1.6042534,103,0,0.55426286,0.329896907
2,297,17,1.8839605,158,0.043256997,0.676246344,0.518900344
2,298,0,1.6178579,120,0,0.560195939,0.388316151
1,299,174,2.447639,272,0.442748092,0.922073023,0.910652921
1,300,72,2.1118128,227,0.183206107,0.775615354,0.756013746
1,301,47,2.028795,204,0.119592875,0.739410336,0.676975945
1,302,56,2.0201983,167,0.142493639,0.735661216,0.549828179
2,303,0,1.4803609,102,0,0.500231915,0.326460481
2,304,0,1.6734514,96,0,0.584440904,0.305841924
2,305,36,2.040309,152,0.091603053,0.744431724,0.498281787
1,306,43,1.9445313,185,0.109414758,0.702661967,0.611683849
1,307,78,2.0987535,186,0.198473282,0.769920043,0.615120275
1,308,160,2.3843048,209,0.407124682,0.89445225,0.694158076
1,309,84,2.2394953,239,0.213740458,0.831299161,0.797250859
1,310,69,2.2341423,185,0.175572519,0.828964656,0.611683849
1,311,59,2.062937,135,0.150127226,0.754300055,0.439862543
3,312,0,1.3938289,84,0,0.462494315,0.264604811
3,313,0,1.31797,74,0,0.429411376,0.23024055
2,314,35,1.9594067,124,0.089058524,0.7091493,0.402061856
1,315,71,2.1429529,190,0.180661578,0.78919591,0.628865979
1,316,93,2.2751732,275,0.236641221,0.846858704,0.920962199
2,317,26,1.8571436,182,0.066157761,0.664551186,0.60137457
1,318,47,2.1355736,211,0.119592875,0.785977712,0.701030928
1,319,49,2.0589156,194,0.124681934,0.752546276,0.642611684
2,320,33,1.8833622,159,0.083969466,0.675985419,0.52233677
2,321,44,1.9758738,170,0.111959288,0.716330792,0.560137457
1,322,69,2.1429529,189,0.175572519,0.78919591,0.625429553
1,323,128,2.2819183,211,0.325699746,0.849800319,0.701030928
1,324,84,2.1525943,166,0.213740458,0.793400635,0.546391753
3,325,8,1.1208336,68,0.020356234,0.343437924,0.209621993
2,326,52,1.8017781,148,0.132315522,0.640405654,0.484536082
2,327,14,1.4221928,99,0.03562341,0.474864138,0.316151203
2,328,40,1.6926663,121,0.10178117,0.592820743,0.391752577
2,329,16,1.4931926,131,0.040712468,0.505827967,0.426116838
3,330,8,1.0697098,56,0.020356234,0.321142246,0.16838488
3,331,10,1.2196002,73,0.025445293,0.386511174,0.226804124
2,332,40,1.9841999,172,0.10178117,0.7199619,0.567010309
1,333,39,1.9742178,215,0.099236641,0.715608591,0.714776632
1,334,60,2.2063715,228,0.152671756,0.816853491,0.759450172
1,335,69,2.1060605,214,0.175572519,0.77310671,0.711340206
2,336,21,1.6659329,172,0.053435115,0.581162,0.567010309
2,337,36,1.9533483,189,0.091603053,0.706507162,0.625429553
1,338,47,2.0999382,199,0.119592875,0.770436704,0.659793814
2,339,32,1.8912494,146,0.081424936,0.679425117,0.47766323
3,340,10,1.2621337,87,0.025445293,0.405060523,0.274914089
3,341,8,1.1208336,70,0.020356234,0.343437924,0.216494845
2,342,29,1.5785179,115,0.073791349,0.543039312,0.371134021
2,343,33,1.9914135,201,0.083969466,0.723107834,0.666666667
1,344,62,2.2474272,278,0.157760814,0.834758354,0.931271478
1,345,146,2.4185004,279,0.371501272,0.909365345,0.934707904
1,346,52,2.2080824,227,0.132315522,0.817599634,0.756013746
3,347,0,0.42239243,13,0,0.038839694,0.020618557
3,348,6,0.8619656,24,0.015267176,0.23054261,0.058419244
3,349,14,1.3006579,57,0.03562341,0.42186137,0.171821306
2,350,20,1.4724894,85,0.050890585,0.496799064,0.268041237
