Ref,Choice R3,Integration [HH] R3,Total Connectivity R3,Choice R3 n,Integration [HH] R3 n,Total Connectivity R3 n
304,0,1.1365665,43,0,0.405889099,0.19047619
305,0,0.33333334,7,0,0,0
306,0,1.3006579,51,0,0.488807625,0.232804233
307,0,1.3006579,51,0,0.488807625,0.232804233
308,0,1.1365665,51,0,0.405889099,0.232804233
309,17,1.471094,60,0.141666667,0.574932251,0.28042328
310,0,1.1191936,46,0,0.397110239,0.206349206
311,0,1.1365665,45,0,0.405889099,0.201058201
312,0,0.49860358,19,0,0.083514217,0.063492063
313,8,0.98558021,34,0.066666667,0.329592835,0.142857143
314,18,1.471094,53,0.15,0.574932251,0.243386243
315,0,1,34,0,0.336879431,0.142857143
316,0,1.5364467,70,0,0.607956222,0.333333333
317,0,0.98558021,26,0,0.329592835,0.100529101
318,0,0.98558021,29,0,0.329592835,0.116402116
319,0,1.2052853,45,0,0.440614024,0.201058201
320,0,1.3076391,53,0,0.49233536,0.243386243
321,0,0.68957245,28,0,0.180014445,0.111111111
322,12,1.2989333,42,0.1,0.487936152,0.185185185
323,0,1.1768752,52,0,0.426257857,0.238095238
324,0,1.5364467,70,0,0.607956222,0.333333333
325,0,0.70398736,12,0,0.187298575,0.026455026
326,0,1.4803609,83,0,0.579614993,0.402116402
327,0,1.4135897,76,0,0.545874227,0.365079365
328,0,1.1768752,53,0,0.426257857,0.243386243
329,0,1.31797,70,0,0.497555761,0.333333333
330,0,0.73918515,32,0,0.205084692,0.132275132
331,14,1.3845592,53,0.116666667,0.531204559,0.243386243
332,0,1.31797,62,0,0.497555761,0.291005291
333,0,1.1058542,33,0,0.390369585,0.137566138
334,0,0.98558021,29,0,0.329592835,0.116402116
335,0,1,34,0,0.336879431,0.142857143
336,0,1.3076391,53,0,0.49233536,0.243386243
337,0,1.0207884,40,0,0.347384207,0.174603175
338,0,1.0207884,40,0,0.347384207,0.174603175
339,0,0.33333334,7,0,0,0
340,4,0.70398736,11,0.033333333,0.187298575,0.021164021
341,6,0.8619656,26,0.05,0.267128005,0.100529101
342,10,1.1561403,45,0.083333333,0.415780115,0.201058201
343,24,1.6981779,58,0.2,0.689682094,0.26984127
344,0,0.33333334,7,0,0,0
345,4,0.70398736,9,0.033333333,0.187298575,0.010582011
346,6,0.87255627,12,0.05,0.272479673,0.026455026
347,6,0.8619656,19,0.05,0.267128005,0.063492063
348,8,1,27,0.066666667,0.336879431,0.105820106
349,14,1.2989333,35,0.116666667,0.487936152,0.148148148
350,0,0.70398736,12,0,0.187298575,0.026455026
351,0,0.91666669,42,0,0.294769513,0.185185185
352,16,1.6132691,70,0.133333333,0.646776052,0.333333333
353,0,0.63684219,23,0,0.153368834,0.084656085
354,10,1.2241485,53,0.083333333,0.45014596,0.243386243
355,0,0.8619656,24,0,0.267128005,0.08994709
356,0,1.1561403,49,0,0.415780115,0.222222222
357,0,0.33333334,8,0,0,0.005291005
358,4,0.69804502,16,0.033333333,0.184295797,0.047619048
359,8,1,30,0.066666667,0.336879431,0.121693122
360,16,1.3873369,51,0.133333333,0.532608184,0.232804233
361,0,0.63684219,22,0,0.153368834,0.079365079
362,10,1.2123377,43,0.083333333,0.444177737,0.19047619
363,0,0.8619656,24,0,0.267128005,0.08994709
364,0,0.42239243,13,0,0.045003264,0.031746032
365,6,0.8619656,24,0.05,0.267128005,0.08994709
366,14,1.3006579,44,0.116666667,0.488807625,0.195767196
367,0,0.42239243,13,0,0.045003264,0.031746032
368,6,0.8619656,21,0.05,0.267128005,0.074074074
369,14,1.3270249,31,0.116666667,0.502131376,0.126984127
370,0,1.1365665,41,0,0.405889099,0.17989418
371,0,0.84912294,20,0,0.260638363,0.068783069
372,0,0.33333334,7,0,0,0
373,4,0.70398736,10,0.033333333,0.187298575,0.015873016
374,6,0.84912294,17,0.05,0.260638363,0.052910053
375,8,1,26,0.066666667,0.336879431,0.100529101
376,14,1.2989333,36,0.116666667,0.487936152,0.153439153
377,0,1.2196002,71,0,0.447847617,0.338624339
378,0,1.4135897,76,0,0.545874227,0.365079365
379,0,0.80638385,31,0,0.239041482,0.126984127
380,14,1.4644111,58,0.116666667,0.571555253,0.26984127
381,0,1.31797,70,0,0.497555761,0.333333333
382,0,0.33333334,8,0,0,0.005291005
383,4,0.69804502,14,0.033333333,0.184295797,0.037037037
384,8,0.98510355,20,0.066666667,0.329351969,0.068783069
385,12,1.2052853,36,0.1,0.440614024,0.153439153
386,0,1.1561403,49,0,0.415780115,0.222222222
387,0,0.68957245,26,0,0.180014445,0.100529101
388,12,1.3006579,43,0.1,0.488807625,0.19047619
389,0,0.8870222,31,0,0.279789585,0.126984127
390,0,0.9216888,47,0,0.297307282,0.211640212
391,20,1.6684235,72,0.166666667,0.674646626,0.343915344
392,60,1.9174613,90,0.5,0.800490196,0.439153439
393,60,1.9174613,88,0.5,0.800490196,0.428571429
394,8,1.0189475,19,0.066666667,0.346453965,0.063492063
395,10,1.1,30,0.083333333,0.387411346,0.121693122
396,14,1.31797,57,0.116666667,0.497555761,0.264550265
397,20,1.4244281,36,0.166666667,0.551351078,0.153439153
398,0,0.84912294,20,0,0.260638363,0.068783069
399,16,1.4783703,28,0.133333333,0.578609105,0.111111111
400,0,0.80638385,31,0,0.239041482,0.126984127
401,14,1.4644111,58,0.116666667,0.571555253,0.26984127
402,60,1.8962001,96,0.5,0.789746504,0.470899471
403,54,1.8369439,100,0.45,0.759803212,0.492063492
404,0,0.73918515,36,0,0.205084692,0.153439153
405,14,1.4135897,74,0.116666667,0.545874227,0.354497354
406,32,1.6042534,75,0.266666667,0.642220246,0.35978836
407,28,1.550553,58,0.233333333,0.615084405,0.26984127
408,0,1.31797,62,0,0.497555761,0.291005291
409,0,1.1058542,34,0,0.390369585,0.142857143
410,0,0.8870222,31,0,0.279789585,0.126984127
411,12,1.2222222,28,0.1,0.449172564,0.111111111
412,8,0.98558021,22,0.066666667,0.329592835,0.079365079
413,6,0.84912294,16,0.05,0.260638363,0.047619048
