Ref,Choice R3,Integration [HH] R3,Total Connectivity R3,Choice normal,Integration normal,Total Connectivity normal
306,190,2.4023979,135,0.081196581,0.684732717,0.174386921
307,40,1.9202406,166,0.017094017,0.525168397,0.216621253
308,14,1.7626089,130,0.005982906,0.47300203,0.167574932
309,36,1.632839,106,0.015384615,0.430056199,0.134877384
310,12,1.6413553,106,0.005128205,0.432874569,0.134877384
311,49,1.8750838,154,0.020940171,0.510224283,0.20027248
312,45,1.8344153,106,0.019230769,0.496765518,0.134877384
313,96,2.0595157,139,0.041025641,0.571259863,0.179836512
314,152,2.1723499,176,0.064957265,0.608601022,0.230245232
315,34,1.5887082,92,0.014529915,0.415451627,0.115803815
316,35,1.6673985,92,0.014957265,0.441493262,0.115803815
317,0,0.9216888,42,0,0.194709358,0.047683924
318,3,1.2829794,75,0.001282051,0.314274257,0.092643052
319,19,1.4803609,75,0.008119658,0.379595356,0.092643052
320,22,1.6211112,111,0.009401709,0.426175021,0.141689373
321,23,1.7325417,105,0.00982906,0.463051642,0.133514986
322,29,1.7257152,95,0.012393162,0.460792491,0.119891008
323,50,2.1456218,118,0.021367521,0.59975567,0.151226158
324,27,1.6178579,92,0.011538462,0.42509838,0.115803815
325,3,1.3592209,80,0.001282051,0.339505489,0.099455041
326,0,0.88468331,50,0,0.182462824,0.058583106
327,0,0.95710868,41,0,0.206431153,0.046321526
328,0,0.95710868,41,0,0.206431153,0.046321526
329,22,1.875,85,0.009401709,0.51019655,0.10626703
330,0,1.0233698,58,0,0.228359496,0.069482289
331,32,1.8597906,91,0.013675214,0.505163177,0.114441417
332,21,1.8962001,103,0.008974359,0.517212475,0.130790191
333,24,1.8362781,110,0.01025641,0.49738199,0.140326975
334,15,1.7269484,91,0.006410256,0.461200605,0.114441417
335,9,1.6042534,87,0.003846154,0.420596129,0.108991826
336,19,1.7379411,81,0.008119658,0.46483851,0.100817439
337,144,2.1876149,229,0.061538462,0.613652795,0.302452316
338,74,1.9768722,146,0.031623932,0.543909963,0.189373297
339,12,1.4505,121,0.005128205,0.36971324,0.155313351
340,8,1.0445806,47,0.003418803,0.235378962,0.054495913
341,12,1.2671746,26,0.005128205,0.309043843,0.025885559
342,6,1.2222222,27,0.002564103,0.294167372,0.027247956
343,6,1.2123377,35,0.002564103,0.290896212,0.038147139
344,44,1.6132691,54,0.018803419,0.42357977,0.064032698
345,8,1.2123377,35,0.003418803,0.290896212,0.038147139
346,8,1.2222222,27,0.003418803,0.294167372,0.027247956
347,10,1.1365665,35,0.004273504,0.26582062,0.038147139
348,6,0.91666669,26,0.002564103,0.19304735,0.025885559
349,8,1,32,0.003418803,0.220625534,0.034059946
350,20,1.3304729,62,0.008547009,0.329991675,0.07493188
351,26,1.7612134,149,0.011111111,0.472540206,0.19346049
352,6,1.1058542,32,0.002564103,0.255656743,0.034059946
353,14,1.2241485,46,0.005982906,0.294804858,0.053133515
354,14,1.4791844,92,0.005982906,0.379206007,0.115803815
355,54,1.7307693,70,0.023076923,0.462465087,0.085831063
356,10,1.1981546,48,0.004273504,0.286202481,0.055858311
357,8,1.0207884,34,0.003418803,0.227505212,0.036784741
358,22,1.6926663,115,0.009401709,0.449855345,0.147138965
359,17,1.550553,56,0.007264957,0.40282461,0.066757493
360,26,1.6700469,107,0.011111111,0.442369719,0.136239782
361,16,1.4666082,59,0.006837607,0.37504406,0.070844687
362,4,1.2241485,51,0.001709402,0.294804858,0.059945504
363,4,1.5517242,101,0.001709402,0.403212205,0.128065395
364,2,1,34,0.000854701,0.220625534,0.036784741
365,7,1.2241485,50,0.002991453,0.294804858,0.058583106
366,16,1.3592209,69,0.006837607,0.339505489,0.084468665
367,12,1.3443909,65,0.005128205,0.334597674,0.079019074
368,10,1.40625,88,0.004273504,0.35506922,0.110354223
369,4,1.0445806,44,0.001709402,0.235378962,0.050408719
370,14,1.5346701,110,0.005982906,0.39756835,0.140326975
371,15,1.4652896,113,0.006410256,0.374607685,0.144414169
372,18,1.4382962,103,0.007692308,0.365674535,0.130790191
373,16,1.2989333,50,0.006837607,0.319554013,0.058583106
374,12,1.2726263,70,0.005128205,0.310848019,0.085831063
375,20,1.6771457,153,0.008547009,0.444718984,0.198910082
376,284,2.4998574,343,0.121367521,0.716985798,0.457765668
377,35,1.9887408,250,0.014957265,0.547837737,0.33106267
378,6,1.9283267,244,0.002564103,0.527844398,0.322888283
379,27,2.0946865,213,0.011538462,0.582899228,0.280653951
380,331,2.5666354,360,0.141452991,0.739085196,0.480926431
381,304,2.6317604,382,0.12991453,0.760637553,0.510899183
382,87,2.5202513,470,0.037179487,0.723734921,0.630790191
383,176,2.3519452,345,0.075213675,0.668035986,0.460490463
384,26,2.3177571,403,0.011111111,0.656721834,0.539509537
385,48,2.1161878,250,0.020512821,0.590014832,0.33106267
386,556,2.7865698,452,0.237606838,0.811869914,0.60626703
387,1856,3.3550446,710,0.793162393,1,0.957765668
388,91,2.3738937,388,0.038888889,0.675299585,0.519073569
389,78,2.0729513,262,0.033333333,0.575706218,0.347411444
390,210,2.4198058,340,0.08974359,0.690493658,0.453678474
391,52,2.1333411,268,0.022222222,0.595691516,0.355585831
392,81,2.2081959,283,0.034615385,0.620463836,0.376021798
393,99,2.3961761,312,0.042307692,0.682673685,0.415531335
394,19,1.951013,245,0.008119658,0.535352163,0.324250681
395,16,1.5592874,120,0.006837607,0.405715158,0.153950954
396,18,1.5,114,0.007692308,0.386094686,0.145776567
397,39,2.0473592,245,0.016666667,0.567236811,0.324250681
398,2,1.4221928,119,0.000854701,0.360345303,0.152588556
