Ref,Choice R3,Integration [HH] R3,Total Connectivity R3,Choice R3 normal,Integration [HH] R3 normal,Total Connectivity R3 normal
339,20,1.5405476,58,0.023894863,0.447466003,0.119437939
340,8,1.0697098,46,0.009557945,0.272945277,0.091334895
341,6,0.84912294,20,0.007168459,0.191182558,0.030444965
342,4,0.70398736,10,0.004778973,0.137386608,0.007025761
343,0,0.33333334,7,0,0,0
344,12,1.2241485,38,0.014336918,0.330189521,0.072599532
345,18,1.4864661,38,0.021505376,0.427420156,0.072599532
346,18,1.5154221,35,0.021505376,0.438152986,0.06557377
347,10,1.1058542,30,0.011947431,0.28634256,0.053864169
348,6,0.8870222,26,0.007168459,0.205230297,0.044496487
349,6,0.84912294,18,0.007168459,0.191182558,0.025761124
350,6,0.8870222,28,0.007168459,0.205230297,0.049180328
351,10,1.1365665,46,0.011947431,0.29772638,0.091334895
352,22,1.606352,72,0.026284349,0.47185706,0.152224824
353,30,1.8,83,0.035842294,0.543634622,0.177985948
354,18,1.5154221,34,0.021505376,0.438152986,0.06323185
355,10,1.1058542,30,0.011947431,0.28634256,0.053864169
356,6,0.8870222,26,0.007168459,0.205230297,0.044496487
357,6,0.84912294,16,0.007168459,0.191182558,0.021077283
358,6,0.84912294,14,0.007168459,0.191182558,0.016393443
359,6,0.84912294,14,0.007168459,0.191182558,0.016393443
360,6,0.84912294,14,0.007168459,0.191182558,0.016393443
361,6,0.84912294,14,0.007168459,0.191182558,0.016393443
362,6,0.84912294,14,0.007168459,0.191182558,0.016393443
363,6,0.84912294,14,0.007168459,0.191182558,0.016393443
364,6,0.84912294,14,0.007168459,0.191182558,0.016393443
365,6,0.84912294,14,0.007168459,0.191182558,0.016393443
366,6,0.84912294,14,0.007168459,0.191182558,0.016393443
367,6,0.84912294,14,0.007168459,0.191182558,0.016393443
368,6,0.84912294,14,0.007168459,0.191182558,0.016393443
369,6,0.84912294,14,0.007168459,0.191182558,0.016393443
370,6,0.84912294,14,0.007168459,0.191182558,0.016393443
371,6,0.84912294,14,0.007168459,0.191182558,0.016393443
372,6,0.84912294,14,0.007168459,0.191182558,0.016393443
373,6,0.84912294,14,0.007168459,0.191182558,0.016393443
374,6,0.84912294,14,0.007168459,0.191182558,0.016393443
375,6,0.84912294,14,0.007168459,0.191182558,0.016393443
376,6,0.84912294,16,0.007168459,0.191182558,0.021077283
377,6,0.8870222,28,0.007168459,0.205230297,0.049180328
378,10,1.1365665,46,0.011947431,0.29772638,0.091334895
379,22,1.606352,73,0.026284349,0.47185706,0.154566745
380,30,1.8,85,0.035842294,0.543634622,0.182669789
