Cluster_Kmeans_916395,Ref,Choice R3,Integration [HH] R3,Total Connectivity R3,choice_normal,integration_normal,connect_normal
3,251,16,1.4255327,57,0.0126582 ,0.2439121 ,0.12077295 
2,252,48,1.7325417,72,0.0379747 ,0.3124740 ,0.15700483 
3,253,4,1.2052853,31,0.0031646 ,0.1947260 ,0.05797101 
3,254,11,1.1058542,27,0.0087025 ,0.1725209 ,0.04830918 
3,255,6,1.2052853,31,0.0047468 ,0.1947260 ,0.05797101 
3,256,10,1.1087778,28,0.0079114 ,0.1731738 ,0.05072464 
3,257,11,1.1365665,35,0.0087025 ,0.1793796 ,0.06763285 
3,258,7,1.3873683,42,0.0055380 ,0.2353892 ,0.08454106 
3,259,7,1.3873683,42,0.0055380 ,0.2353892 ,0.08454106 
3,260,4,1.5365106,57,0.0031646 ,0.2686959 ,0.12077295 
3,261,9,1.5365106,57,0.0071203 ,0.2686959 ,0.12077295 
2,262,74,1.8489804,70,0.0585443 ,0.3384773 ,0.15217391 
3,263,3,1.2123377,43,0.0023734 ,0.1963010 ,0.08695652 
2,264,71,1.8839941,102,0.0561709 ,0.3462966 ,0.22946860 
3,265,2,1.1460608,48,0.0015823 ,0.1814999 ,0.09903382 
3,266,14,1.3076391,47,0.0110759 ,0.2175839 ,0.09661836 
3,267,6,0.94787496,29,0.0047468 ,0.1372406 ,0.05314010 
3,268,6,0.84912294,18,0.0047468 ,0.1151872 ,0.02657005 
3,269,6,0.84912294,14,0.0047468 ,0.1151872 ,0.01690821 
3,270,6,0.84912294,14,0.0047468 ,0.1151872 ,0.01690821 
3,271,6,0.84912294,17,0.0047468 ,0.1151872 ,0.02415459 
3,272,6,0.91666669,23,0.0047468 ,0.1302712 ,0.03864734 
3,273,12,1.2052853,30,0.0094937 ,0.1947260 ,0.05555556 
2,274,106,2.0441177,147,0.0838608 ,0.3820557 ,0.33816425 
2,275,76,2.0398967,161,0.0601266 ,0.3811131 ,0.37198068 
2,276,43,1.6249448,87,0.0340190 ,0.2884452 ,0.19323671 
3,277,24,1.4135897,56,0.0189873 ,0.2412450 ,0.11835749 
3,278,8,1.0697098,40,0.0063291 ,0.1644490 ,0.07971014 
3,279,10,1.1561403,47,0.0079114 ,0.1837509 ,0.09661836 
3,280,8,1.1191936,40,0.0063291 ,0.1754999 ,0.07971014 
3,281,3,0.94787496,39,0.0023734 ,0.1372406 ,0.07729469 
3,282,9,1.3815587,84,0.0071203 ,0.2340918 ,0.18599034 
3,283,12,1.4255327,65,0.0094937 ,0.2439121 ,0.14009662 
3,284,4,0.91666669,31,0.0031646 ,0.1302712 ,0.05797101 
3,285,6,1,30,0.0047468 ,0.1488813 ,0.05555556 
3,286,10,1.3088794,75,0.0079114 ,0.2178609 ,0.16425121 
3,287,16,1.4931926,88,0.0126582 ,0.2590221 ,0.19565217 
3,288,42,1.5364467,50,0.0332278 ,0.2686817 ,0.10386473 
3,289,10,1.1058542,27,0.0079114 ,0.1725209 ,0.04830918 
3,290,4,0.72781962,16,0.0031646 ,0.0880975 ,0.02173913 
3,291,0,0.33333334,9,0.0000000 ,0.0000000 ,0.00483092 
3,292,4,0.72781962,16,0.0031646 ,0.0880975 ,0.02173913 
3,293,10,1.1058542,27,0.0079114 ,0.1725209 ,0.04830918 
3,294,0,0.33333334,9,0.0000000 ,0.0000000 ,0.00483092 
3,295,26,1.3938289,52,0.0205696 ,0.2368320 ,0.10869565 
3,296,18,1.2552096,46,0.0142405 ,0.2058752 ,0.09420290 
3,297,10,1.1365665,37,0.0079114 ,0.1793796 ,0.07246377 
3,298,12,1.2552096,60,0.0094937 ,0.2058752 ,0.12801932 
2,299,48,1.7612134,149,0.0379747 ,0.3188770 ,0.34299517 
3,300,10,1.1561403,52,0.0079114 ,0.1837509 ,0.10869565 
3,301,6,0.8870222,24,0.0047468 ,0.1236509 ,0.04106280 
3,302,6,0.84912294,16,0.0047468 ,0.1151872 ,0.02173913 
3,303,6,0.84912294,13,0.0047468 ,0.1151872 ,0.01449275 
3,304,8,1.0697098,36,0.0063291 ,0.1644490 ,0.07004831 
3,305,0,0.49860358,17,0.0000000 ,0.0369085 ,0.02415459 
2,306,208,2.3044853,206,0.1645570 ,0.4402016 ,0.48067633 
2,307,44,1.8496778,140,0.0348101 ,0.3386330 ,0.32125604 
2,308,28,1.632839,92,0.0221519 ,0.2902082 ,0.20531401 
2,309,39,1.7001897,115,0.0308544 ,0.3052491 ,0.26086957 
3,310,14,1.4255327,81,0.0110759 ,0.2439121 ,0.17874396 
2,311,27,1.8344153,102,0.0213608 ,0.3352246 ,0.22946860 
2,312,96,2.1938319,129,0.0759494 ,0.4154902 ,0.29468599 
2,313,163,2.2438865,156,0.1289557 ,0.4266685 ,0.35990338 
3,314,0,1.3235294,84,0.0000000 ,0.2211325 ,0.18599034 
2,315,109,2.1715031,153,0.0862342 ,0.4105037 ,0.35265700 
2,316,48,1.8470125,128,0.0379747 ,0.3380378 ,0.29227053 
2,317,26,1.7372102,105,0.0205696 ,0.3135166 ,0.23671498 
2,318,25,1.6322472,107,0.0197785 ,0.2900760 ,0.24154589 
3,319,5,1.0445806,50,0.0039557 ,0.1588371 ,0.10386473 
3,320,4,0.9792943,41,0.0031646 ,0.1442573 ,0.08212560 
3,321,15,1.4652896,86,0.0118671 ,0.2527907 ,0.19082126 
2,322,61,1.8962001,88,0.0482595 ,0.3490225 ,0.19565217 
3,323,4,1.3304729,62,0.0031646 ,0.2226832 ,0.13285024 
3,324,6,1.2241485,51,0.0047468 ,0.1989386 ,0.10628019 
3,325,2,1.1208336,52,0.0015823 ,0.1758661 ,0.10869565 
2,326,51,1.8337219,100,0.0403481 ,0.3350697 ,0.22463768 
3,327,12,1.3455029,67,0.0094937 ,0.2260397 ,0.14492754 
3,328,4,1.5785179,91,0.0031646 ,0.2780771 ,0.20289855 
2,329,117,2.1336844,122,0.0925633 ,0.4020580 ,0.27777778 
3,330,0,1.2409762,67,0.0000000 ,0.2026966 ,0.14492754 
2,331,44,1.8839941,118,0.0348101 ,0.3462966 ,0.26811594 
3,332,2,1.1768752,61,0.0015823 ,0.1883814 ,0.13043478 
3,333,12,1.4666082,67,0.0094937 ,0.2530852 ,0.14492754 
3,334,1,1.1768752,61,0.0007911 ,0.1883814 ,0.13043478 
2,335,14,1.7626089,127,0.0110759 ,0.3191886 ,0.28985507 
2,336,47,1.9345245,136,0.0371835 ,0.3575812 ,0.31159420 
2,337,47,1.8839941,118,0.0371835 ,0.3462966 ,0.26811594 
