Ref,Choice R3,Integration [HH] R3,Total Connectivity R3,Choice R3 n,Integration [HH] R3 n,Total Connectivity R3 n
271,12,1.2123377,57,0.034090909,0.357334714,0.142450142
272,8,1.0697098,58,0.022727273,0.299353318,0.145299145
273,152,2.4451993,270,0.431818182,0.858520221,0.749287749
274,18,1.6701162,195,0.051136364,0.543431799,0.535612536
275,22,1.7901133,210,0.0625,0.592213274,0.578347578
276,6,1.0983083,93,0.017045455,0.31097924,0.245014245
277,8,1.0952908,52,0.022727273,0.30975256,0.128205128
278,38,1.6071428,62,0.107954545,0.517831719,0.156695157
279,8,1.0952908,44,0.022727273,0.30975256,0.105413105
280,6,0.8619656,23,0.017045455,0.214900706,0.045584046
281,6,0.8619656,20,0.017045455,0.214900706,0.037037037
282,8,0.98558021,23,0.022727273,0.265152779,0.045584046
283,12,1.2052853,32,0.034090909,0.354467757,0.071225071
284,16,1.2989333,34,0.045454545,0.39253774,0.076923077
285,16,1.3057258,34,0.045454545,0.395299042,0.076923077
286,12,1.2241485,62,0.034090909,0.362136065,0.156695157
287,14,1.4380959,121,0.039772727,0.449110415,0.324786325
288,78,2.1024222,157,0.221590909,0.719173749,0.427350427
289,12,1.3636364,114,0.034090909,0.418840981,0.304843305
290,6,0.91666669,48,0.017045455,0.237137909,0.116809117
291,6,0.84912294,17,0.017045455,0.20967988,0.028490028
292,6,0.84912294,14,0.017045455,0.20967988,0.01994302
293,6,0.84912294,14,0.017045455,0.20967988,0.01994302
294,6,0.84912294,17,0.017045455,0.20967988,0.028490028
295,6,0.91666669,39,0.017045455,0.237137909,0.091168091
296,12,1.3992285,102,0.034090909,0.433309957,0.270655271
297,113,2.1737089,171,0.321022727,0.748153369,0.467236467
298,65,1.9999412,178,0.184659091,0.677512956,0.487179487
299,64,1.9976608,228,0.181818182,0.676585923,0.62962963
300,302,2.7897961,324,0.857954545,0.998606442,0.903133903
301,0,0.33333334,10,0,0,0.008547009
302,4,0.76619166,43,0.011363636,0.175966481,0.102564103
303,12,1.3636364,117,0.034090909,0.418840981,0.313390313
304,82,2.1594694,147,0.232954545,0.742364698,0.398860399
305,12,1.3815587,120,0.034090909,0.426126793,0.321937322
306,6,0.91666669,49,0.017045455,0.237137909,0.11965812
307,37,1.8276744,156,0.105113636,0.607482692,0.424501425
308,35,1.7626089,139,0.099431818,0.581032127,0.376068376
309,8,1.1708162,71,0.022727273,0.340455305,0.182336182
310,8,1,32,0.022727273,0.271014742,0.071225071
311,12,1.2063863,32,0.034090909,0.354915338,0.071225071
312,12,1.2063863,31,0.034090909,0.354915338,0.068376068
313,8,0.98558021,22,0.022727273,0.265152779,0.042735043
314,6,0.8619656,19,0.017045455,0.214900706,0.034188034
315,6,0.84912294,16,0.017045455,0.20967988,0.025641026
316,8,0.98558021,21,0.022727273,0.265152779,0.03988604
317,6,0.8619656,19,0.017045455,0.214900706,0.034188034
318,6,0.84912294,15,0.017045455,0.20967988,0.022792023
319,6,0.84912294,14,0.017045455,0.20967988,0.01994302
320,6,0.84912294,14,0.017045455,0.20967988,0.01994302
321,6,0.84912294,14,0.017045455,0.20967988,0.01994302
322,6,0.84912294,14,0.017045455,0.20967988,0.01994302
323,6,0.84912294,14,0.017045455,0.20967988,0.01994302
324,6,0.84912294,14,0.017045455,0.20967988,0.01994302
325,6,0.84912294,14,0.017045455,0.20967988,0.01994302
326,6,0.84912294,15,0.017045455,0.20967988,0.022792023
327,6,0.8619656,18,0.017045455,0.214900706,0.031339031
328,8,1,22,0.022727273,0.271014742,0.042735043
329,22,1.3057258,29,0.0625,0.395299042,0.062678063
330,8,1,22,0.022727273,0.271014742,0.042735043
331,6,0.8619656,18,0.017045455,0.214900706,0.031339031
332,6,0.84912294,15,0.017045455,0.20967988,0.022792023
333,6,0.84912294,16,0.017045455,0.20967988,0.025641026
334,6,0.8870222,25,0.017045455,0.225086768,0.051282051
335,10,1.1981546,56,0.028409091,0.35156897,0.13960114
336,58,1.7963344,122,0.164772727,0.594742288,0.327635328
337,32,1.5785179,89,0.090909091,0.506195064,0.233618234
338,29,1.5110798,87,0.082386364,0.478779985,0.227920228
339,30,1.6597091,119,0.085227273,0.539201082,0.319088319
340,6,1.1768752,61,0.017045455,0.342918423,0.153846154
341,23,1.5887082,109,0.065340909,0.510337646,0.290598291
342,6,1.0697098,55,0.017045455,0.299353318,0.136752137
343,7,1.0952908,57,0.019886364,0.30975256,0.142450142
344,35,1.6503496,112,0.099431818,0.535396238,0.299145299
345,8,1.2621337,79,0.022727273,0.377577889,0.205128205
346,32,1.5887082,105,0.090909091,0.510337646,0.279202279
347,8,1.0697098,46,0.022727273,0.299353318,0.111111111
348,6,0.8619656,22,0.017045455,0.214900706,0.042735043
349,6,0.8619656,20,0.017045455,0.214900706,0.037037037
350,8,0.98558021,21,0.022727273,0.265152779,0.03988604
351,12,1.2222222,23,0.034090909,0.361352981,0.045584046
352,12,1.2222222,23,0.034090909,0.361352981,0.045584046
353,8,0.98558021,21,0.022727273,0.265152779,0.03988604
354,6,0.8619656,19,0.017045455,0.214900706,0.034188034
355,6,0.84912294,18,0.017045455,0.20967988,0.031339031
356,6,0.91666669,33,0.017045455,0.237137909,0.074074074
357,12,1.2552096,59,0.034090909,0.374763089,0.148148148
358,12,1.2123377,53,0.034090909,0.357334714,0.131054131
359,8,0.98558021,24,0.022727273,0.265152779,0.048433048
360,10,1.3235294,107,0.028409091,0.402536599,0.284900285
361,10,1.3812032,122,0.028409091,0.425982274,0.327635328
362,78,2.1036434,165,0.221590909,0.719670194,0.45014245
363,28,1.5842677,123,0.079545455,0.508532485,0.33048433
364,8,1.0445806,44,0.022727273,0.289137742,0.105413105
365,6,0.8619656,23,0.017045455,0.214900706,0.045584046
366,43,1.8470125,133,0.122159091,0.615344057,0.358974359
367,24,1.6992515,142,0.068181818,0.555275942,0.384615385
368,70,2.0180571,149,0.198863636,0.68487747,0.404558405
369,10,1.3034559,90,0.028409091,0.394376277,0.236467236
370,6,0.8870222,33,0.017045455,0.225086768,0.074074074
371,6,0.84912294,16,0.017045455,0.20967988,0.025641026
372,6,0.84912294,17,0.017045455,0.20967988,0.028490028
373,6,0.91666669,49,0.017045455,0.237137909,0.11965812
374,12,1.3815587,118,0.034090909,0.426126793,0.316239316
375,85,2.1471546,156,0.241477273,0.737358459,0.424501425
376,21,1.5226898,120,0.059659091,0.483499706,0.321937322
377,12,1.2123377,60,0.034090909,0.357334714,0.150997151
378,8,0.98558021,24,0.022727273,0.265152779,0.048433048
379,6,0.8619656,19,0.017045455,0.214900706,0.034188034
380,6,0.84912294,15,0.017045455,0.20967988,0.022792023
381,6,0.84912294,14,0.017045455,0.20967988,0.01994302
382,6,0.84912294,14,0.017045455,0.20967988,0.01994302
383,6,0.84912294,14,0.017045455,0.20967988,0.01994302
384,6,0.84912294,15,0.017045455,0.20967988,0.022792023
385,6,0.8619656,22,0.017045455,0.214900706,0.042735043
386,8,1.0952908,45,0.022727273,0.30975256,0.108262108
387,38,1.6118186,67,0.107954545,0.519732535,0.170940171
388,10,1.1981546,51,0.028409091,0.35156897,0.125356125
389,12,1.2063863,37,0.034090909,0.354915338,0.085470085
390,12,1.238816,70,0.034090909,0.368098728,0.179487179
391,18,1.6581639,176,0.051136364,0.538572924,0.481481481
392,6,0.8619656,22,0.017045455,0.214900706,0.042735043
393,8,1.0207884,35,0.022727273,0.279465687,0.07977208
394,25,1.4652896,98,0.071022727,0.460165255,0.259259259
395,37,1.8628219,141,0.105113636,0.621770928,0.381766382
396,36,1.7626089,128,0.102272727,0.581032127,0.344729345
397,8,1.1460608,71,0.022727273,0.330391688,0.182336182
398,6,0.8619656,26,0.017045455,0.214900706,0.054131054
399,6,0.8870222,31,0.017045455,0.225086768,0.068376068
400,10,1.2196002,68,0.028409091,0.36028708,0.173789174
401,6,0.91666669,49,0.017045455,0.237137909,0.11965812
