Ref,Choice R3,Integration [HH] R3,Total Depth R3,Choice R3,Integration [HH] R3,Total Depth R3
302,6,0.8619656,15,0.045454545,0.25544762,0.091836735
303,8,1,20,0.060606061,0.322149109,0.142857143
304,14,1.2989333,26,0.106060606,0.466600754,0.204081633
305,24,1.550553,32,0.181818182,0.588189349,0.265306122
306,22,1.471094,30,0.166666667,0.549792879,0.244897959
307,32,1.6812503,28,0.242424242,0.651345377,0.224489796
308,28,1.6008096,26,0.212121212,0.612474527,0.204081633
309,20,1.3938289,37,0.151515152,0.512456554,0.316326531
310,30,1.7325417,62,0.227272727,0.676130596,0.571428571
311,22,1.8105773,27,0.166666667,0.713839245,0.214285714
312,28,1.6828449,39,0.212121212,0.652115926,0.336734694
313,17,1.7495173,41,0.128787879,0.684333607,0.357142857
314,26,1.7379411,44,0.196969697,0.678739714,0.387755102
315,25,1.6474625,31,0.189393939,0.635018313,0.255102041
316,0,1.1768752,34,0,0.407619392,0.285714286
317,27,1.6828449,39,0.204545455,0.652115926,0.336734694
318,38,1.8489804,51,0.287878788,0.732396531,0.459183673
319,20,1.3873683,28,0.151515152,0.509334639,0.224489796
320,35,1.8369439,57,0.265151515,0.72658021,0.520408163
321,22,1.8416041,54,0.166666667,0.728832129,0.489795918
322,46,2.0462267,51,0.348484848,0.827710612,0.459183673
323,60,2.0004239,60,0.454545455,0.805577615,0.551020408
324,26,1.7257152,53,0.196969697,0.672831869,0.479591837
325,10,1.1768752,34,0.075757576,0.407619392,0.285714286
326,6,0.8870222,18,0.045454545,0.267555562,0.12244898
327,6,0.84912294,12,0.045454545,0.249241742,0.06122449
328,6,0.84912294,12,0.045454545,0.249241742,0.06122449
329,6,0.84912294,12,0.045454545,0.249241742,0.06122449
330,6,0.84912294,12,0.045454545,0.249241742,0.06122449
331,6,0.8870222,18,0.045454545,0.267555562,0.12244898
332,10,1.1561403,31,0.075757576,0.397599797,0.255102041
333,24,1.6673985,51,0.181818182,0.64465186,0.459183673
334,42,1.8900454,59,0.318181818,0.752240111,0.540816327
335,0,1.5517242,50,0,0.5887553,0.448979592
336,18,1.4644111,33,0.136363636,0.546563544,0.275510204
337,6,0.91666669,21,0.045454545,0.281880481,0.153061224
338,0,0.42239243,9,0,0.04303546,0.030612245
339,0,1.1365665,28,0,0.388141274,0.224489796
340,0,0.33333334,6,0,0,0
341,4,0.70398736,7,0.03030303,0.179108795,0.010204082
342,6,0.87255627,9,0.045454545,0.260565282,0.030612245
343,6,0.8619656,15,0.045454545,0.25544762,0.091836735
344,8,0.98558021,17,0.060606061,0.315181125,0.112244898
345,12,1.2052853,24,0.090909091,0.421347824,0.183673469
346,28,1.5364467,38,0.212121212,0.581372851,0.326530612
347,18,1.2989333,26,0.136363636,0.466600754,0.204081633
348,26,1.7342104,25,0.196969697,0.676936951,0.193877551
349,10,1.1,19,0.075757576,0.370471475,0.132653061
350,8,0.98510355,14,0.060606061,0.314950791,0.081632653
351,6,0.8870222,18,0.045454545,0.267555562,0.12244898
352,8,1.0445806,26,0.060606061,0.34369151,0.204081633
353,18,1.4635203,36,0.136363636,0.546133088,0.306122449
354,14,1.5154221,24,0.106060606,0.571213266,0.183673469
355,0,0.80638385,19,0,0.228589203,0.132653061
356,36,1.8918658,24,0.272727273,0.753119772,0.183673469
357,16,1.3988512,25,0.121212121,0.514883448,0.193877551
358,8,1.0207884,23,0.060606061,0.332194556,0.173469388
359,6,0.8619656,15,0.045454545,0.25544762,0.091836735
360,6,0.87255627,9,0.045454545,0.260565282,0.030612245
