Ref,Choice R3,Integration [HH] R3,Total Connectivity R3,Choice R3 normal,Integration [HH] R3 normal,Total Connectivity R3 normal
314,28,1.6693437,124,0.043887147,0.514085321,0.277251185
315,39,1.7288883,104,0.061128527,0.536997572,0.22985782
316,38,1.7257152,90,0.059561129,0.53577659,0.196682464
317,20,1.4724894,66,0.031347962,0.438337475,0.139810427
318,16,1.3076391,54,0.02507837,0.374904495,0.111374408
319,13,1.3443909,65,0.020376176,0.389046272,0.137440758
320,630,2.9243333,429,0.987460815,0.996994548,1
321,28,1.9740222,276,0.043887147,0.631322993,0.637440758
322,32,1.7213885,183,0.05015674,0.534111713,0.417061611
323,20,1.7963344,121,0.031347962,0.562950252,0.27014218
324,44,1.7963344,137,0.068965517,0.562950252,0.308056872
325,56,1.9309677,135,0.087774295,0.614755991,0.303317536
326,44,1.8077145,140,0.068965517,0.567329217,0.315165877
327,64,1.975305,137,0.10031348,0.631816603,0.308056872
328,37,1.8839605,125,0.05799373,0.596668023,0.279620853
329,22,1.5448366,89,0.034482759,0.466176057,0.194312796
330,18,1.4382962,87,0.028213166,0.425180226,0.18957346
331,32,1.6118186,89,0.05015674,0.491950156,0.194312796
332,40,1.7265038,95,0.062695925,0.536080037,0.208530806
333,30,1.7812788,99,0.047021944,0.557156986,0.218009479
334,47,1.9174613,90,0.073667712,0.609558844,0.196682464
335,46,1.7909094,81,0.072100313,0.560862759,0.17535545
336,0,1.6734514,87,0,0.515665928,0.18957346
337,49,2.0502288,125,0.076802508,0.660646638,0.279620853
338,50,1.9787503,143,0.078369906,0.633142325,0.322274882
339,40,1.7495173,65,0.062695925,0.544935434,0.137440758
340,46,1.8,72,0.072100313,0.564360744,0.154028436
341,36,1.6673985,81,0.056426332,0.513336824,0.17535545
342,40,1.7265038,91,0.062695925,0.536080037,0.199052133
343,44,1.7821976,89,0.068965517,0.557510533,0.194312796
344,50,1.8369439,95,0.078369906,0.578576439,0.208530806
345,36,1.6684235,73,0.056426332,0.513731236,0.156398104
346,28,1.5365106,65,0.043887147,0.462972284,0.137440758
347,32,1.6037242,65,0.05015674,0.4888355,0.137440758
348,36,1.6734514,66,0.056426332,0.515665928,0.139810427
349,28,1.5448366,82,0.043887147,0.466176057,0.177725118
350,59,2.1785276,152,0.092476489,0.710014915,0.343601896
351,66,2.1680176,155,0.103448276,0.705970758,0.3507109
352,36,1.7081656,139,0.056426332,0.529023655,0.312796209
353,18,1.5592874,124,0.028213166,0.471736601,0.277251185
354,20,1.6071428,90,0.031347962,0.490150948,0.196682464
355,40,1.7379411,86,0.062695925,0.540481011,0.187203791
