Ref,Choice R3,Integration [HH] R3,Total Connectivity R3,Choice R3,Integration [HH] R3,Total Connectivity R3
241,6,0.84912294,14,0.011428571,0.198002297,0.017811705
242,14,1.3443909,69,0.026666667,0.388126708,0.157760814
243,22,1.6071428,88,0.041904762,0.488992409,0.20610687
244,31,1.7257152,91,0.059047619,0.534510208,0.213740458
245,34,1.7852225,89,0.064761905,0.557353984,0.208651399
246,24,1.6684235,78,0.045714286,0.512516961,0.180661578
247,10,1.1561403,51,0.019047619,0.315860708,0.111959288
248,6,0.94787496,45,0.011428571,0.235911411,0.096692112
249,10,1.1768752,62,0.019047619,0.323820461,0.139949109
250,26,1.7269484,91,0.04952381,0.534983611,0.213740458
251,48,2.0119839,105,0.091428571,0.644403584,0.249363868
252,20,1.5448366,90,0.038095238,0.465074186,0.211195929
253,42,1.7379411,87,0.08,0.53920351,0.203562341
254,23,1.6042534,93,0.043809524,0.48788322,0.218829517
255,32,1.8839605,133,0.060952381,0.595257716,0.320610687
256,83,2.1471546,156,0.158095238,0.69629317,0.37913486
257,66,2.1024222,158,0.125714286,0.679121211,0.384223919
258,18,1.4803609,77,0.034285714,0.440323131,0.178117048
259,8,1.0445806,42,0.015238095,0.273034957,0.089058524
260,6,0.8619656,22,0.011428571,0.202932362,0.038167939
261,6,0.84912294,15,0.011428571,0.198002297,0.020356234
262,6,0.84912294,14,0.011428571,0.198002297,0.017811705
263,6,0.84912294,14,0.011428571,0.198002297,0.017811705
264,6,0.84912294,15,0.011428571,0.198002297,0.020356234
265,6,0.8619656,20,0.011428571,0.202932362,0.03307888
266,8,1,28,0.015238095,0.255921271,0.053435115
267,14,1.3006579,47,0.026666667,0.3713384,0.10178117
268,58,1.9363272,115,0.11047619,0.615360345,0.27480916
269,32,1.6042534,80,0.060952381,0.48788322,0.185750636
270,14,1.3076391,51,0.026666667,0.374018356,0.111959288
271,10,1.1191936,36,0.019047619,0.301677538,0.073791349
272,12,1.2052853,36,0.022857143,0.334726584,0.073791349
273,16,1.31797,51,0.03047619,0.377984202,0.111959288
274,35,1.8416041,98,0.066666667,0.578997861,0.231552163
275,56,1.9912097,85,0.106666667,0.636428744,0.198473282
276,36,1.6666666,75,0.068571429,0.511842519,0.17302799
277,12,1.2222222,23,0.022857143,0.341228354,0.040712468
278,8,0.98558021,21,0.015238095,0.250385774,0.03562341
279,6,0.8619656,19,0.011428571,0.202932362,0.030534351
280,6,0.84912294,15,0.011428571,0.198002297,0.020356234
281,6,0.84912294,14,0.011428571,0.198002297,0.017811705
282,6,0.84912294,14,0.011428571,0.198002297,0.017811705
283,6,0.84912294,14,0.011428571,0.198002297,0.017811705
284,6,0.84912294,14,0.011428571,0.198002297,0.017811705
285,6,0.84912294,14,0.011428571,0.198002297,0.017811705
286,6,0.84912294,14,0.011428571,0.198002297,0.017811705
287,6,0.84912294,14,0.011428571,0.198002297,0.017811705
288,6,0.84912294,14,0.011428571,0.198002297,0.017811705
289,6,0.84912294,14,0.011428571,0.198002297,0.017811705
290,6,0.84912294,14,0.011428571,0.198002297,0.017811705
291,12,1.2063863,31,0.022857143,0.335149238,0.061068702
292,8,0.98558021,22,0.015238095,0.250385774,0.038167939
293,6,0.8619656,19,0.011428571,0.202932362,0.030534351
294,6,0.84912294,16,0.011428571,0.198002297,0.022900763
295,6,0.8619656,20,0.011428571,0.202932362,0.03307888
296,8,1,30,0.015238095,0.255921271,0.058524173
297,14,1.31797,51,0.026666667,0.377984202,0.111959288
298,12,1.2063863,31,0.022857143,0.335149238,0.061068702
299,8,0.98558021,22,0.015238095,0.250385774,0.038167939
300,6,0.8619656,20,0.011428571,0.202932362,0.03307888
301,6,0.8619656,25,0.011428571,0.202932362,0.045801527
302,8,1.0952908,49,0.015238095,0.292501685,0.106870229
303,22,1.6249448,83,0.041904762,0.495826275,0.193384224
304,52,2.0790501,100,0.099047619,0.670149085,0.236641221
305,33,1.9341822,85,0.062857143,0.614536918,0.198473282
306,111,2.4041641,192,0.211428571,0.794954468,0.470737913
307,34,1.9345245,157,0.064761905,0.614668321,0.381679389
308,14,1.4850357,138,0.026666667,0.442117702,0.333333333
309,26,1.7325417,129,0.04952381,0.537130778,0.31043257
310,58,2.0671797,153,0.11047619,0.665592253,0.371501272
311,93,2.1938319,170,0.177142857,0.714211741,0.41475827
312,61,2.0595157,174,0.116190476,0.662650182,0.424936387
313,30,1.7914909,140,0.057142857,0.55976031,0.338422392
314,21,1.5598243,96,0.04,0.470827693,0.226463104
315,24,1.4864661,45,0.045714286,0.442666807,0.096692112
316,0,1,29,0,0.255921271,0.055979644
317,14,1.4538981,125,0.026666667,0.430164541,0.300254453
318,30,1.8427275,153,0.057142857,0.579429114,0.371501272
319,50,2.1594694,159,0.095238095,0.701020599,0.386768448
320,44,1.9775612,145,0.083809524,0.631189332,0.351145038
321,46,2.0004239,124,0.087619048,0.639965909,0.297709924
322,47,2.1336844,142,0.08952381,0.691122204,0.34351145
323,30,1.8344153,136,0.057142857,0.57623821,0.328244275
324,14,1.4538981,123,0.026666667,0.430164541,0.295165394
325,35,1.875,84,0.066666667,0.591817942,0.195928753
326,40,1.9174613,94,0.076190476,0.608118067,0.221374046
327,34,1.6666666,79,0.064761905,0.511842519,0.183206107
328,14,1.3304729,66,0.026666667,0.382783839,0.150127226
329,12,1.2552096,63,0.022857143,0.35389162,0.142493639
330,22,1.6684235,86,0.041904762,0.512516961,0.201017812
331,26,1.7909094,98,0.04952381,0.559537082,0.231552163
332,18,1.4135897,72,0.034285714,0.414690875,0.165394402
333,20,1.4724894,67,0.038095238,0.437301404,0.152671756
334,27,1.6828449,62,0.051428571,0.518053076,0.139949109
335,27,1.6037242,74,0.051428571,0.48768007,0.170483461
336,36,1.6700469,99,0.068571429,0.513140155,0.234096692
337,11,1.3845592,50,0.020952381,0.403546591,0.109414758
338,14,1.4635203,63,0.026666667,0.433858329,0.142493639
339,12,1.2222222,23,0.022857143,0.341228354,0.040712468
340,8,0.98558021,21,0.015238095,0.250385774,0.03562341
341,6,0.8619656,19,0.011428571,0.202932362,0.030534351
342,6,0.84912294,15,0.011428571,0.198002297,0.020356234
343,6,0.84912294,14,0.011428571,0.198002297,0.017811705
344,6,0.84912294,15,0.011428571,0.198002297,0.020356234
345,6,0.8619656,19,0.011428571,0.202932362,0.030534351
346,8,0.98558021,21,0.015238095,0.250385774,0.03562341
347,12,1.2222222,23,0.022857143,0.341228354,0.040712468
348,73,2.063493,122,0.139047619,0.664176995,0.292620865
349,71,2.0201983,117,0.135238095,0.647556943,0.279898219
350,26,1.7265038,93,0.04952381,0.534812938,0.218829517
351,10,1.2196002,72,0.019047619,0.340221815,0.165394402
352,10,1.2196002,76,0.019047619,0.340221815,0.175572519
353,26,1.7269484,92,0.04952381,0.534983611,0.216284987
354,45,2.0119839,101,0.085714286,0.644403584,0.239185751
355,26,1.7269484,91,0.04952381,0.534983611,0.213740458
356,6,0.8619656,20,0.011428571,0.202932362,0.03307888
357,70,2.0789747,134,0.133333333,0.67012014,0.323155216
358,26,1.7325417,118,0.04952381,0.537130778,0.282442748
359,14,1.390353,87,0.026666667,0.405770726,0.203562341
360,22,1.606352,68,0.041904762,0.488688835,0.155216285
