Ref,Choice R3,Integration [HH] R3,Total Connectivity R3,Choice R3,Integration [HH] R3,Total Connectivity R3
235,22,1.4382962,73,0.016369048,0.397536828,0.113402062
236,8,1.0445806,39,0.005952381,0.25588822,0.054982818
237,8,1,26,0.005952381,0.239849283,0.032646048
238,12,1.2222222,25,0.008928571,0.319799036,0.030927835
239,12,1.2063863,28,0.008928571,0.314101692,0.036082474
240,10,1.1365665,40,0.007440476,0.288982349,0.056701031
241,26,1.4652896,77,0.019345238,0.407248349,0.120274914
242,12,1.2906152,67,0.008928571,0.344405055,0.103092784
243,24,1.6828449,64,0.017857143,0.485519074,0.097938144
244,44,2.0257571,65,0.032738095,0.608889943,0.099656357
245,24,1.6981779,61,0.017857143,0.491035488,0.092783505
246,10,1.1981546,66,0.007440476,0.311140141,0.10137457
247,8,1.0952908,58,0.005952381,0.274132428,0.087628866
248,18,1.4644111,56,0.013392857,0.406932288,0.08419244
249,20,1.6981779,59,0.014880952,0.491035488,0.089347079
250,18,1.4635203,59,0.013392857,0.406611801,0.089347079
251,10,1.1981546,60,0.007440476,0.311140141,0.091065292
252,26,1.4516129,67,0.019345238,0.402327829,0.103092784
253,10,1.1191936,34,0.007440476,0.282732032,0.046391753
254,14,1.1087778,21,0.010416667,0.278984699,0.024054983
255,8,0.98510355,17,0.005952381,0.234489928,0.017182131
256,6,0.8619656,18,0.004464286,0.190188104,0.018900344
257,6,0.8870222,29,0.004464286,0.199202816,0.037800687
258,10,1.1365665,43,0.007440476,0.288982349,0.06185567
259,22,1.6118186,82,0.016369048,0.459965663,0.128865979
260,10,1.2196002,71,0.007440476,0.318855709,0.109965636
261,44,2.0986035,101,0.032738095,0.635098179,0.161512027
262,30,1.8344558,94,0.022321429,0.540064723,0.149484536
263,30,1.8344558,94,0.022321429,0.540064723,0.149484536
264,53,2.0986035,102,0.039434524,0.635098179,0.163230241
265,30,1.8344153,108,0.022321429,0.540050152,0.173539519
266,14,1.4850357,120,0.010416667,0.414352481,0.194158076
267,55,1.8882366,166,0.040922619,0.559413653,0.273195876
